gene_id	groups	n_groups
ENSG00002436	PG01104	1
ENSG00002438	PG01105	1
ENSG00002443	PG01106	1
ENSG00002446	PG01108;PG01108b	2
ENSG00002450	PG01109	1
ENSG00002451	PG01110	1
ENSG00002453	PG01111	1
ENSG00002455	PG01112	1
ENSG00002457	PG01113	1
ENSG00002458	PG01114	1
ENSG00002464	PG01115	1
ENSG00002471	PG01117	1
ENSG00002475	PG01119	1
ENSG00002477	PG01120	1
ENSG00002479	PG01121	1
ENSG00002480	PG01122	1
ENSG00002484	PG01123	1
ENSG00002485	PG01124	1
ENSG00002487	PG01125	1
ENSG00002488	PG01126	1
ENSG00002491	PG01127	1
ENSG00002497	PG01130	1
ENSG00002498	PG01131	1
ENSG00002503	PG01132;PG01132b	2
ENSG00002505	PG01133	1
ENSG00002507	PG01134	1
ENSG00002512	PG01135	1
ENSG00002513	PG01136	1
ENSG00002514	PG01137	1
ENSG00002515	PG01138	1
ENSG00002516	PG01139	1
ENSG00002517	PG01140	1
ENSG00002518	PG01141	1
ENSG00002519	PG01142	1
ENSG00002520	PG01143	1
ENSG00002525	PG01144	1
ENSG00002526	PG01145	1
ENSG00002527	PG01146	1
ENSG00002528	PG01147	1
ENSG00002531	PG01148	1
ENSG00002534	PG01149	1
ENSG00002536	PG01150	1
ENSG00002548	PG01154	1
ENSG00002550	PG01155	1
ENSG00002552	PG01156	1
ENSG00002557	PG01157;PG01157b	2
ENSG00002561	PG01159	1
ENSG00002564	PG01161	1
ENSG00002568	PG01162	1
ENSG00002573	PG01164	1
ENSG00002574	PG01165;PG01165b	2
ENSG00002576	PG01166	1
ENSG00002580	PG01168	1
ENSG00002582	PG01169;PG01169b	2
ENSG00002583	PG01170	1
ENSG00002584	PG01171	1
ENSG00002588	PG01173	1
ENSG00002591	PG01174	1
ENSG00002597	PG01176	1
ENSG00002598	PG01177	1
ENSG00002599	PG01178	1
ENSG00002601	PG01179	1
ENSG00002610	PG01182;PG01182b	2
ENSG00002611	PG01183	1
ENSG00002612	PG01184	1
ENSG00002615	PG01185	1
ENSG00002616	PG01186	1
ENSG00002618	PG01187	1
ENSG00002619	PG01188	1
ENSG00002621	PG01189	1
ENSG00002623	PG01190	1
ENSG00002624	PG01191	1
ENSG00002627	PG01192	1
ENSG00002628	PG01193	1
ENSG00002634	PG01194	1
ENSG00002640	PG01196	1
ENSG00002644	PG01197	1
ENSG00002645	PG01198	1
ENSG00002648	PG01199	1
ENSG00002649	PG01200	1
ENSG00002653	PG01202	1
ENSG00002657	PG01205	1
ENSG00002661	PG01207	1
ENSG00002663	PG01209	1
ENSG00002666	PG01210	1
ENSG00002670	PG01211;PG01211b	2
ENSG00002673	PG01213	1
ENSG00002678	PG01215	1
ENSG00002679	PG01216	1
ENSG00002680	PG01217	1
ENSG00002688	PG01220	1
ENSG00002695	PG01222;PG01222b	2
ENSG00002698	PG01223	1
ENSG00002700	PG01224	1
ENSG00002712	PG01225	1
ENSG00002719	PG01230	1
ENSG00002724	PG01231	1
ENSG00002725	PG01232	1
ENSG00002726	PG01233	1
ENSG00002727	PG01234	1
ENSG00002730	PG01235	1
ENSG00002732	PG01236	1
ENSG00002734	PG01238	1
ENSG00002736	PG01239	1
ENSG00002737	PG01240	1
ENSG00002743	PG01241	1
ENSG00002745	PG01242;PG01242b	2
ENSG00002749	PG01244	1
ENSG00002751	PG01245	1
ENSG00002752	PG01246	1
ENSG00002754	PG01247	1
ENSG00002759	PG01248	1
ENSG00002761	PG01249	1
ENSG00002763	PG01251	1
ENSG00002765	PG01252	1
ENSG00002766	PG01253	1
ENSG00002770	PG01255	1
ENSG00002774	PG01257	1
ENSG00002776	PG01258	1
ENSG00002783	PG01259	1
ENSG00002786	PG01260	1
ENSG00002788	PG01261	1
ENSG00002789	PG01262	1
ENSG00002791	PG01263	1
ENSG00002792	PG01264	1
ENSG00002794	PG01265	1
ENSG00002795	PG01266	1
ENSG00002797	PG01267	1
ENSG00002802	PG01269	1
ENSG00002803	PG01270	1
ENSG00002805	PG01271	1
ENSG00002806	PG01272	1
ENSG00002808	PG01273	1
ENSG00002809	PG01274	1
ENSG00002814	PG01277	1
ENSG00002819	PG01278	1
ENSG00002821	PG01279	1
ENSG00002822	PG01280	1
ENSG00002823	PG01281	1
ENSG00002825	PG01282;PG01282b	2
ENSG00002830	PG01284	1
ENSG00002831	PG01285	1
ENSG00002834	PG01286;PG01286b	2
ENSG00002835	PG01287	1
ENSG00002839	PG01288	1
ENSG00002840	PG01289	1
ENSG00002842	PG01290	1
ENSG00002845	PG01291;PG01291b	2
ENSG00002847	PG01292	1
ENSG00002848	PG01293	1
ENSG00002849	PG01294	1
ENSG00002850	PG01295	1
ENSG00002854	PG01297	1
ENSG00002855	PG01298	1
ENSG00002858	PG01299	1
ENSG00002869	PG01300	1
ENSG00002870	PG01301	1
ENSG00002872	PG01302	1
ENSG00002877	PG01303	1
ENSG00002879	PG01305;PG01305b	2
ENSG00002880	PG01306	1
ENSG00002882	PG01308	1
ENSG00002884	PG01309	1
ENSG00002885	PG01310	1
ENSG00002887	PG01311	1
ENSG00002891	PG01314	1
ENSG00002893	PG01315	1
ENSG00002897	PG01316	1
ENSG00002899	PG01317	1
ENSG00002902	PG01318	1
ENSG00002906	PG01319	1
ENSG00002910	PG01321	1
ENSG00002911	PG01322	1
ENSG00002916	PG01324	1
ENSG00002919	PG01325	1
ENSG00002921	PG01326	1
ENSG00002923	PG01327	1
ENSG00002924	PG01328	1
ENSG00002925	PG01329	1
ENSG00002926	PG01330	1
ENSG00002929	PG01331	1
ENSG00002931	PG01332	1
ENSG00002935	PG01333	1
ENSG00002940	PG01335	1
ENSG00002943	PG01336	1
ENSG00002950	PG01337	1
ENSG00002951	PG01338	1
ENSG00002952	PG01339	1
ENSG00002956	PG01341	1
ENSG00002960	PG01342	1
ENSG00002963	PG01343	1
ENSG00002964	PG01344	1
ENSG00002967	PG01345	1
ENSG00002974	PG01347	1
ENSG00002981	PG01349	1
ENSG00002983	PG01350	1
ENSG00002985	PG01351	1
ENSG00002994	PG01352	1
ENSG00002996	PG01353	1
ENSG00002998	PG01354	1
ENSG00003000	PG01355	1
ENSG00003002	PG01356;PG01356b	2
ENSG00003003	PG01357	1
ENSG00003005	PG01358;PG01358b	2
ENSG00003006	PG01359	1
ENSG00003008	PG01360	1
ENSG00003009	PG01361;PG01361b	2
ENSG00003011	PG01362	1
ENSG00003015	PG01364	1
ENSG00003016	PG01365	1
ENSG00003017	PG01366	1
ENSG00003019	PG01367	1
ENSG00003027	PG01370	1
ENSG00003031	PG01371	1
ENSG00003036	PG01373	1
ENSG00003037	PG01374	1
ENSG00003039	PG01375	1
ENSG00003040	PG01376	1
ENSG00003042	PG01377	1
ENSG00003043	PG01378	1
ENSG00003048	PG01380	1
ENSG00003049	PG01381	1
ENSG00003050	PG01382	1
ENSG00003051	PG01383	1
ENSG00003052	PG01384	1
ENSG00003053	PG01385;PG01385b	2
ENSG00003057	PG01386	1
ENSG00003058	PG01387	1
ENSG00003059	PG01388	1
ENSG00003062	PG01389	1
ENSG00003065	PG01391	1
ENSG00003067	PG01392	1
ENSG00003069	PG01394	1
ENSG00003071	PG01395	1
ENSG00003073	PG01396	1
ENSG00003074	PG01397	1
ENSG00003075	PG01398	1
ENSG00003076	PG01399	1
ENSG00003077	PG01400	1
ENSG00003078	PG01401	1
ENSG00003081	PG01403	1
ENSG00003082	PG01404	1
ENSG00003096	PG01407	1
ENSG00003098	PG01408	1
ENSG00003100	PG01409	1
ENSG00003103	PG01410	1
ENSG00003104	PG01411	1
ENSG00003105	PG01412	1
ENSG00003108	PG01414	1
ENSG00003113	PG01416	1
ENSG00003114	PG01417	1
ENSG00003116	PG01419	1
ENSG00003118	PG01420	1
ENSG00003119	PG01421	1
ENSG00003122	PG01422	1
ENSG00003125	PG01423	1
ENSG00003126	PG01424	1
ENSG00003128	PG01425	1
ENSG00003132	PG01426	1
ENSG00003134	PG01427	1
ENSG00003138	PG01428	1
ENSG00003140	PG01429	1
ENSG00003144	PG01430	1
ENSG00003151	PG01431	1
ENSG00003154	PG01433	1
ENSG00003159	PG01436	1
ENSG00003163	PG01438	1
ENSG00003165	PG01439	1
ENSG00003166	PG01440	1
ENSG00003167	PG01441	1
ENSG00003169	PG01442	1
ENSG00003170	PG01443	1
ENSG00003171	PG01444	1
ENSG00003175	PG01445	1
ENSG00003181	PG01446	1
ENSG00003186	PG01447	1
ENSG00003188	PG01448	1
ENSG00003189	PG01449	1
ENSG00003191	PG01451	1
ENSG00003194	PG01452	1
ENSG00003199	PG01453	1
ENSG00003201	PG01454	1
ENSG00003202	PG01455	1
ENSG00003205	PG01456	1
ENSG00003206	PG01457	1
ENSG00003209	PG01458	1
ENSG00003211	PG01459	1
ENSG00003217	PG01460	1
ENSG00003225	PG01461	1
ENSG00003227	PG01462	1
ENSG00003229	PG01463	1
ENSG00003232	PG01464	1
ENSG00003236	PG01465	1
ENSG00003238	PG01466	1
ENSG00003239	PG01467	1
ENSG00003240	PG01468	1
ENSG00003241	PG01469	1
ENSG00003243	PG01470;PG01470b	2
ENSG00003245	PG01471	1
ENSG00003250	PG01473	1
ENSG00003257	PG01474	1
ENSG00003258	PG01475	1
ENSG00003263	PG01479	1
ENSG00003268	PG01480	1
ENSG00003269	PG01481	1
ENSG00003271	PG01482	1
ENSG00003274	PG01485	1
ENSG00003279	PG01487	1
ENSG00003280	PG01488	1
ENSG00003285	PG01489	1
ENSG00003288	PG01491	1
ENSG00003290	PG01492	1
ENSG00003292	PG01493	1
ENSG00003293	PG01494	1
ENSG00003295	PG01495	1
ENSG00003296	PG01496	1
ENSG00003299	PG01497	1
ENSG00003302	PG01498	1
ENSG00003306	PG01499	1
ENSG00003309	PG01500	1
ENSG00003312	PG01502;PG01502b	2
ENSG00003313	PG01503	1
ENSG00003315	PG01504	1
ENSG00003316	PG01505	1
ENSG00003317	PG01506	1
ENSG00003318	PG01507	1
ENSG00003319	PG01508	1
ENSG00003321	PG01509	1
ENSG00003326	PG01513	1
ENSG00003329	PG01514	1
ENSG00003331	PG01515	1
ENSG00003336	PG01517	1
ENSG00003338	PG01518	1
ENSG00003341	PG01519	1
ENSG00003344	PG01520	1
ENSG00003347	PG01522	1
ENSG00003348	PG01523	1
ENSG00003349	PG01524	1
ENSG00003352	PG01525	1
ENSG00003353	PG01526	1
ENSG00003354	PG01527	1
ENSG00003359	PG01528	1
ENSG00003361	PG01529	1
ENSG00003362	PG01530	1
ENSG00003365	PG01531	1
ENSG00003368	PG01532	1
ENSG00003369	PG01533	1
ENSG00003373	PG01535	1
ENSG00003375	PG01536	1
ENSG00003379	PG01538	1
ENSG00003380	PG01539	1
ENSG00003381	PG01540	1
ENSG00003382	PG01541	1
ENSG00003383	PG01542	1
ENSG00003385	PG01543	1
ENSG00003386	PG01544	1
ENSG00003387	PG01545	1
ENSG00003392	PG01547	1
ENSG00003393	PG01548	1
ENSG00003395	PG01549	1
ENSG00003397	PG01551	1
ENSG00003398	PG01552	1
ENSG00003399	PG01553	1
ENSG00003400	PG01554	1
ENSG00003401	PG01555	1
ENSG00003402	PG01556	1
ENSG00003406	PG01557	1
ENSG00003408	PG01559	1
ENSG00003411	PG01560	1
ENSG00003413	PG01561	1
ENSG00003417	PG01564;PG01564b	2
ENSG00003418	PG01565	1
ENSG00003421	PG01567	1
ENSG00003422	PG01568	1
ENSG00003425	PG01569	1
ENSG00003427	PG01570	1
ENSG00003428	PG01571	1
ENSG00003429	PG01572	1
ENSG00003430	PG01573	1
ENSG00003433	PG01575	1
ENSG00003439	PG01577	1
ENSG00003443	PG01578	1
ENSG00003446	PG01579	1
ENSG00003448	PG01580	1
ENSG00003449	PG01581	1
ENSG00003451	PG01582	1
ENSG00003454	PG01584	1
ENSG00003456	PG01586	1
ENSG00003457	PG01587	1
ENSG00003460	PG01588	1
ENSG00003467	PG01590	1
ENSG00003472	PG01591	1
ENSG00003475	PG01593	1
ENSG00003482	PG01596	1
ENSG00003485	PG01597	1
ENSG00003488	PG01599	1
ENSG00003489	PG01600	1
ENSG00003491	PG01601	1
ENSG00003495	PG01602	1
ENSG00003497	PG01603;PG01603b	2
ENSG00003499	PG01605	1
ENSG00003501	PG01606	1
ENSG00003503	PG01607	1
ENSG00003504	PG01608	1
ENSG00003507	PG01610	1
ENSG00003510	PG01611	1
ENSG00003511	PG01612b	1
ENSG00003512	PG01613	1
ENSG00003516	PG01614	1
ENSG00003517	PG01615;PG01615b	2
ENSG00003518	PG01616	1
ENSG00003521	PG01617	1
ENSG00003525	PG01619	1
ENSG00003528	PG01620	1
ENSG00003529	PG01621	1
ENSG00003531	PG01623	1
ENSG00003533	PG01624	1
ENSG00003535	PG01625	1
ENSG00003540	PG01626	1
ENSG00003543	PG01627	1
ENSG00003551	PG01628	1
ENSG00003554	PG01629	1
ENSG00003555	PG01630	1
ENSG00003558	PG01632	1
ENSG00003559	PG01633	1
ENSG00003562	PG01634;PG01634b	2
ENSG00003563	PG01635	1
ENSG00003566	PG01637	1
ENSG00003574	PG01639	1
ENSG00003578	PG01640	1
ENSG00003580	PG01641	1
ENSG00003582	PG01642	1
ENSG00003585	PG01643	1
ENSG00003591	PG01645	1
ENSG00003593	PG01646;PG01646b	2
ENSG00003599	PG01648	1
ENSG00003600	PG01649	1
ENSG00003602	PG01650	1
ENSG00003611	PG01651	1
ENSG00003612	PG01652	1
ENSG00003613	PG01653	1
ENSG00003614	PG01654	1
ENSG00003616	PG01655	1
ENSG00003617	PG01656	1
ENSG00003622	PG01657;PG01657b	2
ENSG00003624	PG01658	1
ENSG00003626	PG01660	1
ENSG00003629	PG01661	1
ENSG00003635	PG01662	1
ENSG00003637	PG01663	1
ENSG00003640	PG01664	1
ENSG00003643	PG01665	1
ENSG00003645	PG01666	1
ENSG00003648	PG01667	1
ENSG00003650	PG01668	1
ENSG00003657	PG01669	1
ENSG00003658	PG01670	1
ENSG00003662	PG01672	1
ENSG00003665	PG01673	1
ENSG00003668	PG01675	1
ENSG00003671	PG01676	1
ENSG00003673	PG01677	1
ENSG00003676	PG01679	1
ENSG00003677	PG01680	1
ENSG00003686	PG01682	1
ENSG00003687	PG01683	1
ENSG00003689	PG01684	1
ENSG00003692	PG01685	1
ENSG00003693	PG01686	1
ENSG00003695	PG01687	1
ENSG00003696	PG01688	1
ENSG00003698	PG01689	1
ENSG00003701	PG01690	1
ENSG00003703	PG01691	1
ENSG00003707	PG01693	1
ENSG00003708	PG01694	1
ENSG00003712	PG01696	1
ENSG00003713	PG01697	1
ENSG00003716	PG01699	1
ENSG00003717	PG01700	1
ENSG00003718	PG01701	1
ENSG00003719	PG01702	1
ENSG00003725	PG01705;PG01705b	2
ENSG00003726	PG01706	1
ENSG00003730	PG01708	1
ENSG00003732	PG01709	1
ENSG00003738	PG01710	1
ENSG00003739	PG01711	1
ENSG00003740	PG01712	1
ENSG00003741	PG01713	1
ENSG00003742	PG01714	1
ENSG00003744	PG01715	1
ENSG00003745	PG01716;PG01716b	2
ENSG00003751	PG01717	1
ENSG00003754	PG01718	1
ENSG00003760	PG01721	1
ENSG00003765	PG01723	1
ENSG00003767	PG01724	1
ENSG00003777	PG01725	1
ENSG00003779	PG01726	1
ENSG00003781	PG01727	1
ENSG00003782	PG01728	1
ENSG00003786	PG01729	1
ENSG00003787	PG01730	1
ENSG00003790	PG01732	1
ENSG00003791	PG01733	1
ENSG00003794	PG01734	1
ENSG00003798	PG01735	1
ENSG00003800	PG01737	1
ENSG00003803	PG01739	1
ENSG00003805	PG01740	1
ENSG00003806	PG01741	1
ENSG00003808	PG01742	1
ENSG00003812	PG01743	1
ENSG00003813	PG01744	1
ENSG00003814	PG01745	1
ENSG00003818	PG01746	1
ENSG00003821	PG01747	1
ENSG00003824	PG01749	1
ENSG00003825	PG01750	1
ENSG00003826	PG01751	1
ENSG00003829	PG01752	1
ENSG00003830	PG01753	1
ENSG00003831	PG01754	1
ENSG00003836	PG01755	1
ENSG00003837	PG01756	1
ENSG00003841	PG01757	1
ENSG00003846	PG01758	1
ENSG00003848	PG01759	1
ENSG00003851	PG01760	1
ENSG00003854	PG01761	1
ENSG00003856	PG01762	1
ENSG00003858	PG01763	1
ENSG00003859	PG01764;PG01764b	2
ENSG00003861	PG01765	1
ENSG00003862	PG01766	1
ENSG00003863	PG01767	1
ENSG00003865	PG01768	1
ENSG00003867	PG01770	1
ENSG00003868	PG01771	1
ENSG00003869	PG01772	1
ENSG00003871	PG01773	1
ENSG00003875	PG01775	1
ENSG00003881	PG01777	1
ENSG00003882	PG01778	1
ENSG00003884	PG01779	1
ENSG00003886	PG01780	1
ENSG00003888	PG01781	1
ENSG00003893	PG01783	1
ENSG00003896	PG01784	1
ENSG00003897	PG01785	1
ENSG00003899	PG01786	1
ENSG00003903	PG01787	1
ENSG00003905	PG01788;PG01788b	2
ENSG00003908	PG01789	1
ENSG00003910	PG01790	1
ENSG00003911	PG01791	1
ENSG00003913	PG01792	1
ENSG00003918	PG01794	1
ENSG00003919	PG01795	1
ENSG00003920	PG01796;PG01796b	2
ENSG00003921	PG01797	1
ENSG00003922	PG01798	1
ENSG00003923	PG01799	1
ENSG00003925	PG01800	1
ENSG00003928	PG01801	1
ENSG00003932	PG01804	1
ENSG00003939	PG01805	1
ENSG00003940	PG01806	1
ENSG00003944	PG01807;PG01807b	2
ENSG00003946	PG01808	1
ENSG00003948	PG01809	1
ENSG00003954	PG01810	1
ENSG00003956	PG01812	1
ENSG00003963	PG01813	1
ENSG00003964	PG01814	1
ENSG00003967	PG01815	1
ENSG00003969	PG01816	1
ENSG00003971	PG01817	1
ENSG00003972	PG01818	1
ENSG00003974	PG01819	1
ENSG00003976	PG01820	1
ENSG00003977	PG01821	1
ENSG00003979	PG01822	1
ENSG00003981	PG01823	1
ENSG00003985	PG01824	1
ENSG00003990	PG01826	1
ENSG00003991	PG01827	1
ENSG00003992	PG01828	1
ENSG00003995	PG01829	1
ENSG00003997	PG01830	1
ENSG00004000	PG01831	1
