accession	gene_id	status
P00823	ENSG00000823	reviewed
P00824	ENSG00000824	reviewed
P00825	ENSG00000825	reviewed
P00826	ENSG00000826	reviewed
P00827	ENSG00000827	reviewed
P00828	ENSG00000828	reviewed
P00829	ENSG00000829	reviewed
P00830	ENSG00000830	reviewed
P00831	ENSG00000831	reviewed
P00832	ENSG00000832	reviewed
P00833	ENSG00000833	reviewed
P00834	ENSG00000834	reviewed
P00835	ENSG00000835	reviewed
P00836	ENSG00000836	reviewed
P00837	ENSG00000837	reviewed
P00838	ENSG00000838	reviewed
P00839	ENSG00000839	reviewed
P00840	ENSG00000840	reviewed
P00841	ENSG00000841	reviewed
P00842	ENSG00000842	reviewed
P00843	ENSG00000843	reviewed
P00844	ENSG00000844	reviewed
P00845	ENSG00000845	reviewed
P00846	ENSG00000846	reviewed
P00847	ENSG00000847	reviewed
P00848	ENSG00000848	reviewed
P00849	ENSG00000849	reviewed
P00850	ENSG00000850	reviewed
P00851	ENSG00000851	reviewed
P00852	ENSG00000852	reviewed
P00853	ENSG00000853	reviewed
P00854	ENSG00000854	reviewed
P00855	ENSG00000855	reviewed
P00856	ENSG00000856	reviewed
P00857	ENSG00000857	reviewed
P00858	ENSG00000858	reviewed
P00859	ENSG00000859	reviewed
P00860	ENSG00000860	reviewed
P00861	ENSG00000861	reviewed
P00862	ENSG00000862	reviewed
P00863	ENSG00000863	reviewed
P00864	ENSG00000864	reviewed
P00865	ENSG00000865	reviewed
P00866	ENSG00000866	reviewed
P00867	ENSG00000867	reviewed
P00868	ENSG00000868	reviewed
P00869	ENSG00000869	reviewed
P00870	ENSG00000870	reviewed
P00871	ENSG00000871	reviewed
P00872	ENSG00000872	reviewed
P00873	ENSG00000873	reviewed
P00874	ENSG00000874	reviewed
P00875	ENSG00000875	reviewed
P00876	ENSG00000876	reviewed
P00877	ENSG00000877	reviewed
P00878	ENSG00000878	reviewed
P00879	ENSG00000879	reviewed
P00880	ENSG00000880	reviewed
P00881	ENSG00000881	reviewed
P00882	ENSG00000882	reviewed
P00883	ENSG00000883	reviewed
P00884	ENSG00000884	reviewed
P00885	ENSG00000885	reviewed
P00886	ENSG00000886	reviewed
P00887	ENSG00000887	reviewed
P00888	ENSG00000888	reviewed
P00889	ENSG00000889	reviewed
P00890	ENSG00000890	reviewed
P00891	ENSG00000891	reviewed
P00892	ENSG00000892	reviewed
P00893	ENSG00000893	reviewed
P00894	ENSG00000894	reviewed
P00895	ENSG00000895	reviewed
P00896	ENSG00000896	reviewed
P00897	ENSG00000897	reviewed
P00898	ENSG00000898	reviewed
P00899	ENSG00000899	reviewed
P00900	ENSG00000900	reviewed
P00901	ENSG00000901	reviewed
P00902	ENSG00000902	reviewed
P00903	ENSG00000903	reviewed
P00904	ENSG00000904	reviewed
P00905	ENSG00000905	reviewed
P00906	ENSG00000906	reviewed
P00907	ENSG00000907	reviewed
P00908	ENSG00000908	reviewed
P00909	ENSG00000909	reviewed
P00910	ENSG00000910	reviewed
P00911	ENSG00000911	reviewed
P00912	ENSG00000912	reviewed
P00913	ENSG00000913	reviewed
P00914	ENSG00000914	reviewed
P00915	ENSG00000915	reviewed
P00916	ENSG00000916	reviewed
P00917	ENSG00000917	reviewed
P00918	ENSG00000918	reviewed
P00919	ENSG00000919	reviewed
P00920	ENSG00000920	reviewed
P00921	ENSG00000921	reviewed
P00922	ENSG00000922	reviewed
P00923	ENSG00000923	reviewed
P00924	ENSG00000924	reviewed
P00925	ENSG00000925	reviewed
P00926	ENSG00000926	reviewed
P00927	ENSG00000927	reviewed
P00928	ENSG00000928	reviewed
P00929	ENSG00000929	reviewed
P00930	ENSG00000930	reviewed
P00931	ENSG00000931	reviewed
P00932	ENSG00000932	reviewed
P00933	ENSG00000933	reviewed
P00934	ENSG00000934	reviewed
P00935	ENSG00000935	reviewed
P00936	ENSG00000936	reviewed
P00937	ENSG00000937	reviewed
P00938	ENSG00000938	reviewed
P00939	ENSG00000939	reviewed
P00940	ENSG00000940	reviewed
P00941	ENSG00000941	reviewed
P00942	ENSG00000942	reviewed
P00943	ENSG00000943	reviewed
P00944	ENSG00000944	reviewed
P00945	ENSG00000945	reviewed
P00946	ENSG00000946	reviewed
P00947	ENSG00000947	reviewed
P00948	ENSG00000948	reviewed
P00949	ENSG00000949	reviewed
P00950	ENSG00000950	reviewed
P00951	ENSG00000951	reviewed
P00952	ENSG00000952	reviewed
P00953	ENSG00000953	reviewed
P00954	ENSG00000954	reviewed
P00955	ENSG00000955	reviewed
P00956	ENSG00000956	reviewed
P00957	ENSG00000957	reviewed
P00958	ENSG00000958	reviewed
P00959	ENSG00000959	reviewed
P00960	ENSG00000960	reviewed
P00961	ENSG00000961	reviewed
P00962	ENSG00000962	reviewed
P00963	ENSG00000963	reviewed
P00964	ENSG00000964	reviewed
P00965	ENSG00000965	reviewed
P00966	ENSG00000966	reviewed
P00967	ENSG00000967	reviewed
P00968	ENSG00000968	reviewed
P00969	ENSG00000969	reviewed
P00970	ENSG00000970	reviewed
P00971	ENSG00000971	reviewed
P00972	ENSG00000972	reviewed
P00973	ENSG00000973	reviewed
P00974	ENSG00000974	reviewed
P00975	ENSG00000975	reviewed
P00976	ENSG00000976	reviewed
P00977	ENSG00000977	reviewed
P00978	ENSG00000978	reviewed
P00979	ENSG00000979	reviewed
P00980	ENSG00000980	reviewed
P00981	ENSG00000981	reviewed
P00982	ENSG00000982	reviewed
P00983	ENSG00000983	reviewed
P00984	ENSG00000984	reviewed
P00985	ENSG00000985	reviewed
P00986	ENSG00000986	reviewed
P00987	ENSG00000987	reviewed
P00988	ENSG00000988	reviewed
P00989	ENSG00000989	reviewed
P00990	ENSG00000990	reviewed
P00991	ENSG00000991	reviewed
P00992	ENSG00000992	reviewed
P00993	ENSG00000993	reviewed
P00994	ENSG00000994	reviewed
P00995	ENSG00000995	reviewed
P00996	ENSG00000996	reviewed
P00997	ENSG00000997	reviewed
P00998	ENSG00000998	reviewed
P00999	ENSG00000999	reviewed
P01000	ENSG00001000	reviewed
P01001	ENSG00001001	reviewed
P01002	ENSG00001002	reviewed
P01003	ENSG00001003	reviewed
P01004	ENSG00001004	reviewed
P01005	ENSG00001005	reviewed
P01006	ENSG00001006	reviewed
P01007	ENSG00001007	reviewed
P01008	ENSG00001008	reviewed
P01009	ENSG00001009	reviewed
P01010	ENSG00001010	reviewed
P01011	ENSG00001011	reviewed
P01012	ENSG00001012	reviewed
P01013	ENSG00001013	reviewed
P01014	ENSG00001014	reviewed
P01015	ENSG00001015	reviewed
P01016	ENSG00001016	reviewed
P01017	ENSG00001017	reviewed
P01018	ENSG00001018	reviewed
P01019	ENSG00001019	reviewed
P01020	ENSG00001020	reviewed
P01021	ENSG00001021	reviewed
P01022	ENSG00001022	reviewed
P01023	ENSG00001023	reviewed
P01024	ENSG00001024	reviewed
P01025	ENSG00001025	reviewed
P01026	ENSG00001026	reviewed
P01027	ENSG00001027	reviewed
P01028	ENSG00001028	reviewed
P01029	ENSG00001029	reviewed
P01030	ENSG00001030	reviewed
P01031	ENSG00001031	reviewed
P01032	ENSG00001032	reviewed
P01033	ENSG00001033	reviewed
P01034	ENSG00001034	reviewed
P01035	ENSG00001035	reviewed
P01036	ENSG00001036	reviewed
P01037	ENSG00001037	reviewed
P01038	ENSG00001038	reviewed
P01039	ENSG00001039	reviewed
P01040	ENSG00001040	reviewed
P01041	ENSG00001041	reviewed
P01042	ENSG00001042	reviewed
P01043	ENSG00001043	reviewed
P01044	ENSG00001044	reviewed
P01045	ENSG00001045	reviewed
P01046	ENSG00001046	reviewed
P01047	ENSG00001047	reviewed
P01048	ENSG00001048	reviewed
P01049	ENSG00001049	reviewed
P01050	ENSG00001050	reviewed
P01051	ENSG00001051	reviewed
P01052	ENSG00001052	reviewed
P01053	ENSG00001053	reviewed
P01054	ENSG00001054	reviewed
P01055	ENSG00001055	reviewed
P01056	ENSG00001056	reviewed
P01057	ENSG00001057	reviewed
P01058	ENSG00001058	reviewed
P01059	ENSG00001059	reviewed
P01060	ENSG00001060	reviewed
P01061	ENSG00001061	reviewed
P01062	ENSG00001062	reviewed
P01063	ENSG00001063	reviewed
P01064	ENSG00001064	reviewed
P01065	ENSG00001065	reviewed
P01066	ENSG00001066	reviewed
P01067	ENSG00001067	reviewed
P01068	ENSG00001068	reviewed
P01069	ENSG00001069	reviewed
P01070	ENSG00001070	reviewed
P01071	ENSG00001071	reviewed
P01072	ENSG00001072	reviewed
P01073	ENSG00001073	reviewed
P01074	ENSG00001074	reviewed
P01075	ENSG00001075	reviewed
P01076	ENSG00001076	reviewed
P01077	ENSG00001077	reviewed
P01078	ENSG00001078	reviewed
P01079	ENSG00001079	reviewed
P01080	ENSG00001080	reviewed
P01081	ENSG00001081	reviewed
P01082	ENSG00001082	reviewed
P01083	ENSG00001083	reviewed
P01084	ENSG00001084	reviewed
P01085	ENSG00001085	reviewed
P01086	ENSG00001086	reviewed
P01087	ENSG00001087	reviewed
P01088	ENSG00001088	reviewed
P01089	ENSG00001089	reviewed
P01090	ENSG00001090	reviewed
P01091	ENSG00001091	reviewed
P01092	ENSG00001092	reviewed
P01093	ENSG00001093	reviewed
P01094	ENSG00001094	reviewed
P01095	ENSG00001095	reviewed
P01096	ENSG00001096	reviewed
P01097	ENSG00001097	reviewed
P01098	ENSG00001098	reviewed
P01099	ENSG00001099	reviewed
P01100	ENSG00001100	reviewed
P01101	ENSG00001101	reviewed
P01102	ENSG00001102	reviewed
P01103	ENSG00001103	reviewed
P01104	ENSG00001104	reviewed
P01105	ENSG00001105	reviewed
P01106	ENSG00001106	reviewed
P01107	ENSG00001107	reviewed
P01108	ENSG00001108	reviewed
P01109	ENSG00001109	reviewed
P01110	ENSG00001110	reviewed
P01111	ENSG00001111	reviewed
P01112	ENSG00001112	reviewed
P01113	ENSG00001113	reviewed
P01114	ENSG00001114	reviewed
P01115	ENSG00001115	reviewed
P01116	ENSG00001116	reviewed
P01117	ENSG00001117	reviewed
P01118	ENSG00001118	reviewed
P01119	ENSG00001119	reviewed
P01120	ENSG00001120	reviewed
P01121	ENSG00001121	reviewed
P01122	ENSG00001122	reviewed
P01123	ENSG00001123	reviewed
P01124	ENSG00001124	reviewed
P01125	ENSG00001125	reviewed
P01126	ENSG00001126	reviewed
P01127	ENSG00001127	reviewed
P01128	ENSG00001128	reviewed
P01129	ENSG00001129	reviewed
P01130	ENSG00001130	reviewed
P01131	ENSG00001131	reviewed
P01132	ENSG00001132	reviewed
P01133	ENSG00001133	reviewed
P01134	ENSG00001134	reviewed
P01135	ENSG00001135	reviewed
P01136	ENSG00001136	reviewed
P01137	ENSG00001137	reviewed
P01138	ENSG00001138	reviewed
P01139	ENSG00001139	reviewed
P01140	ENSG00001140	reviewed
P01141	ENSG00001141	reviewed
P01142	ENSG00001142	reviewed
P01143	ENSG00001143	reviewed
P01144	ENSG00001144	reviewed
P01145	ENSG00001145	reviewed
P01146	ENSG00001146	reviewed
P01147	ENSG00001147	reviewed
P01148	ENSG00001148	reviewed
P01149	ENSG00001149	reviewed
P01150	ENSG00001150	reviewed
P01151	ENSG00001151	reviewed
P01152	ENSG00001152	reviewed
P01153	ENSG00001153	reviewed
P01154	ENSG00001154	reviewed
P01155	ENSG00001155	reviewed
P01156	ENSG00001156	reviewed
P01157	ENSG00001157	reviewed
P01158	ENSG00001158	reviewed
P01159	ENSG00001159	reviewed
P01160	ENSG00001160	reviewed
P01161	ENSG00001161	reviewed
P01162	ENSG00001162	reviewed
P01163	ENSG00001163	reviewed
P01164	ENSG00001164	reviewed
P01165	ENSG00001165	reviewed
P01166	ENSG00001166	reviewed
P01167	ENSG00001167	reviewed
P01168	ENSG00001168	reviewed
P01169	ENSG00001169	reviewed
P01170	ENSG00001170	reviewed
P01171	ENSG00001171	reviewed
P01172	ENSG00001172	reviewed
P01173	ENSG00001173	reviewed
P01174	ENSG00001174	reviewed
P01175	ENSG00001175	reviewed
P01176	ENSG00001176	reviewed
P01177	ENSG00001177	reviewed
P01178	ENSG00001178	reviewed
P01179	ENSG00001179	reviewed
P01180	ENSG00001180	reviewed
P01181	ENSG00001181	reviewed
P01182	ENSG00001182	reviewed
P01183	ENSG00001183	reviewed
P01184	ENSG00001184	reviewed
P01185	ENSG00001185	reviewed
P01186	ENSG00001186	reviewed
P01187	ENSG00001187	reviewed
P01188	ENSG00001188	reviewed
P01189	ENSG00001189	reviewed
P01190	ENSG00001190	reviewed
P01191	ENSG00001191	reviewed
P01192	ENSG00001192	reviewed
P01193	ENSG00001193	reviewed
P01194	ENSG00001194	reviewed
P01195	ENSG00001195	reviewed
P01196	ENSG00001196	reviewed
P01197	ENSG00001197	reviewed
P01198	ENSG00001198	reviewed
P01199	ENSG00001199	reviewed
P01200	ENSG00001200	reviewed
P01201	ENSG00001201	reviewed
P01202	ENSG00001202	reviewed
P01203	ENSG00001203	reviewed
P01204	ENSG00001204	reviewed
P01205	ENSG00001205	reviewed
P01206	ENSG00001206	reviewed
P01207	ENSG00001207	reviewed
P01208	ENSG00001208	reviewed
P01209	ENSG00001209	reviewed
P01210	ENSG00001210	reviewed
P01211	ENSG00001211	reviewed
P01212	ENSG00001212	reviewed
P01213	ENSG00001213	reviewed
P01214	ENSG00001214	reviewed
P01215	ENSG00001215	reviewed
P01216	ENSG00001216	reviewed
P01217	ENSG00001217	reviewed
P01218	ENSG00001218	reviewed
P01219	ENSG00001219	reviewed
P01220	ENSG00001220	reviewed
P01221	ENSG00001221	reviewed
P01222	ENSG00001222	reviewed
P01223	ENSG00001223	reviewed
P01224	ENSG00001224	reviewed
P01225	ENSG00001225	reviewed
P01226	ENSG00001226	reviewed
P01227	ENSG00001227	reviewed
P01228	ENSG00001228	reviewed
P01229	ENSG00001229	reviewed
P01230	ENSG00001230	reviewed
P01231	ENSG00001231	reviewed
P01232	ENSG00001232	reviewed
P01233	ENSG00001233	reviewed
P01234	ENSG00001234	reviewed
P01235	ENSG00001235	reviewed
P01236	ENSG00001236	reviewed
P01237	ENSG00001237	reviewed
P01238	ENSG00001238	reviewed
P01239	ENSG00001239	reviewed
P01240	ENSG00001240	reviewed
P01241	ENSG00001241	reviewed
P01242	ENSG00001242	reviewed
P01243	ENSG00001243	reviewed
P01244	ENSG00001244	reviewed
P01245	ENSG00001245	reviewed
P01246	ENSG00001246	reviewed
P01247	ENSG00001247	reviewed
P01248	ENSG00001248	reviewed
P01249	ENSG00001249	reviewed
P01250	ENSG00001250	reviewed
P01251	ENSG00001251	reviewed
P01252	ENSG00001252	reviewed
P01253	ENSG00001253	reviewed
P01254	ENSG00001254	reviewed
P01255	ENSG00001255	reviewed
P01256	ENSG00001256	reviewed
P01257	ENSG00001257	reviewed
P01258	ENSG00001258	reviewed
P01259	ENSG00001259	reviewed
P01260	ENSG00001260	reviewed
P01261	ENSG00001261	reviewed
P01262	ENSG00001262	reviewed
P01263	ENSG00001263	reviewed
P01264	ENSG00001264	reviewed
P01265	ENSG00001265	reviewed
P01266	ENSG00001266	reviewed
P01267	ENSG00001267	reviewed
P01268	ENSG00001268	reviewed
P01269	ENSG00001269	reviewed
P01270	ENSG00001270	reviewed
P01271	ENSG00001271	reviewed
P01272	ENSG00001272	reviewed
P01273	ENSG00001273	reviewed
P01274	ENSG00001274	reviewed
P01275	ENSG00001275	reviewed
P01276	ENSG00001276	reviewed
P01277	ENSG00001277	reviewed
P01278	ENSG00001278	reviewed
P01279	ENSG00001279	reviewed
P01280	ENSG00001280	reviewed
P01281	ENSG00001281	reviewed
P01282	ENSG00001282	reviewed
P01283	ENSG00001283	reviewed
P01284	ENSG00001284	reviewed
P01285	ENSG00001285	reviewed
P01286	ENSG00001286	reviewed
P01287	ENSG00001287	reviewed
P01288	ENSG00001288	reviewed
P01289	ENSG00001289	reviewed
P01290	ENSG00001290	reviewed
P01291	ENSG00001291	reviewed
P01292	ENSG00001292	reviewed
P01293	ENSG00001293	reviewed
P01294	ENSG00001294	reviewed
P01295	ENSG00001295	reviewed
P01296	ENSG00001296	reviewed
P01297	ENSG00001297	reviewed
P01298	ENSG00001298	reviewed
P01299	ENSG00001299	reviewed
P01300	ENSG00001300	reviewed
P01301	ENSG00001301	reviewed
P01302	ENSG00001302	reviewed
P01303	ENSG00001303	reviewed
P01304	ENSG00001304	reviewed
P01305	ENSG00001305	reviewed
P01306	ENSG00001306	reviewed
P01307	ENSG00001307	reviewed
P01308	ENSG00001308	reviewed
P01309	ENSG00001309	reviewed
P01310	ENSG00001310	reviewed
P01311	ENSG00001311	reviewed
P01312	ENSG00001312	reviewed
P01313	ENSG00001313	reviewed
P01314	ENSG00001314	reviewed
P01315	ENSG00001315	reviewed
P01316	ENSG00001316	reviewed
P01317	ENSG00001317	reviewed
P01318	ENSG00001318	reviewed
P01319	ENSG00001319	reviewed
P01320	ENSG00001320	reviewed
P01321	ENSG00001321	reviewed
P01322	ENSG00001322	reviewed
P01323	ENSG00001323	reviewed
P01324	ENSG00001324	reviewed
P01325	ENSG00001325	reviewed
P01326	ENSG00001326	reviewed
P01327	ENSG00001327	reviewed
P01328	ENSG00001328	reviewed
P01329	ENSG00001329	reviewed
P01330	ENSG00001330	reviewed
P01331	ENSG00001331	reviewed
P01332	ENSG00001332	reviewed
P01333	ENSG00001333	reviewed
P01334	ENSG00001334	reviewed
P01335	ENSG00001335	reviewed
P01336	ENSG00001336	reviewed
P01337	ENSG00001337	reviewed
P01338	ENSG00001338	reviewed
P01339	ENSG00001339	reviewed
P01340	ENSG00001340	reviewed
P01341	ENSG00001341	reviewed
P01342	ENSG00001342	reviewed
P01343	ENSG00001343	reviewed
P01344	ENSG00001344	reviewed
P01345	ENSG00001345	reviewed
P01346	ENSG00001346	reviewed
P01347	ENSG00001347	reviewed
P01348	ENSG00001348	reviewed
P01349	ENSG00001349	reviewed
P01350	ENSG00001350	reviewed
P01351	ENSG00001351	reviewed
P01352	ENSG00001352	reviewed
P01353	ENSG00001353	reviewed
P01354	ENSG00001354	reviewed
P01355	ENSG00001355	reviewed
P01356	ENSG00001356	reviewed
P01357	ENSG00001357	reviewed
P01358	ENSG00001358	reviewed
P01359	ENSG00001359	reviewed
P01360	ENSG00001360	reviewed
P01361	ENSG00001361	reviewed
P01362	ENSG00001362	reviewed
P01363	ENSG00001363	reviewed
P01364	ENSG00001364	reviewed
P01365	ENSG00001365	reviewed
P01366	ENSG00001366	reviewed
P01367	ENSG00001367	reviewed
P01368	ENSG00001368	reviewed
P01369	ENSG00001369	reviewed
P01370	ENSG00001370	reviewed
P01371	ENSG00001371	reviewed
P01372	ENSG00001372	reviewed
P01373	ENSG00001373	reviewed
P01374	ENSG00001374	reviewed
P01375	ENSG00001375	reviewed
P01376	ENSG00001376	reviewed
P01377	ENSG00001377	reviewed
P01378	ENSG00001378	reviewed
P01379	ENSG00001379	reviewed
P01380	ENSG00001380	reviewed
P01381	ENSG00001381	reviewed
P01382	ENSG00001382	reviewed
P01383	ENSG00001383	reviewed
P01384	ENSG00001384	reviewed
P01385	ENSG00001385	reviewed
P01386	ENSG00001386	reviewed
P01387	ENSG00001387	reviewed
P01388	ENSG00001388	reviewed
P01389	ENSG00001389	reviewed
P01390	ENSG00001390	reviewed
P01391	ENSG00001391	reviewed
P01392	ENSG00001392	reviewed
P01393	ENSG00001393	reviewed
P01394	ENSG00001394	reviewed
P01395	ENSG00001395	reviewed
P01396	ENSG00001396	reviewed
P01397	ENSG00001397	reviewed
P01398	ENSG00001398	reviewed
P01399	ENSG00001399	reviewed
P01400	ENSG00001400	reviewed
P01401	ENSG00001401	reviewed
P01402	ENSG00001402	reviewed
P01403	ENSG00001403	reviewed
P01404	ENSG00001404	reviewed
P01405	ENSG00001405	reviewed
P01406	ENSG00001406	reviewed
P01407	ENSG00001407	reviewed
P01408	ENSG00001408	reviewed
P01409	ENSG00001409	reviewed
P01410	ENSG00001410	reviewed
P01411	ENSG00001411	reviewed
P01412	ENSG00001412	reviewed
P01413	ENSG00001413	reviewed
P01414	ENSG00001414	reviewed
P01415	ENSG00001415	reviewed
P01416	ENSG00001416	reviewed
P01417	ENSG00001417	reviewed
P01418	ENSG00001418	reviewed
P01419	ENSG00001419	reviewed
P01420	ENSG00001420	reviewed
P01421	ENSG00001421	reviewed
P01422	ENSG00001422	reviewed
P01423	ENSG00001423	reviewed
P01424	ENSG00001424	reviewed
P01425	ENSG00001425	reviewed
P01426	ENSG00001426	reviewed
P01427	ENSG00001427	reviewed
P01428	ENSG00001428	reviewed
P01429	ENSG00001429	reviewed
P01430	ENSG00001430	reviewed
P01431	ENSG00001431	reviewed
P01432	ENSG00001432	reviewed
P01433	ENSG00001433	reviewed
P01434	ENSG00001434	reviewed
P01435	ENSG00001435	reviewed
P01436	ENSG00001436	reviewed
P01437	ENSG00001437	reviewed
P01438	ENSG00001438	reviewed
P01439	ENSG00001439	reviewed
P01440	ENSG00001440	reviewed
P01441	ENSG00001441	reviewed
P01442	ENSG00001442	reviewed
P01443	ENSG00001443	reviewed
P01444	ENSG00001444	reviewed
P01445	ENSG00001445	reviewed
P01446	ENSG00001446	reviewed
P01447	ENSG00001447	reviewed
P01448	ENSG00001448	reviewed
P01449	ENSG00001449	reviewed
P01450	ENSG00001450	reviewed
P01451	ENSG00001451	reviewed
P01452	ENSG00001452	reviewed
P01453	ENSG00001453	reviewed
P01454	ENSG00001454	reviewed
P01455	ENSG00001455	reviewed
P01456	ENSG00001456	reviewed
P01457	ENSG00001457	reviewed
P01458	ENSG00001458	reviewed
P01459	ENSG00001459	reviewed
P01460	ENSG00001460	reviewed
P01461	ENSG00001461	reviewed
P01462	ENSG00001462	reviewed
P01463	ENSG00001463	reviewed
P01464	ENSG00001464	reviewed
P01465	ENSG00001465	reviewed
P01466	ENSG00001466	reviewed
P01467	ENSG00001467	reviewed
P01468	ENSG00001468	reviewed
P01469	ENSG00001469	reviewed
P01470	ENSG00001470	reviewed
P01471	ENSG00001471	reviewed
P01472	ENSG00001472	reviewed
P01473	ENSG00001473	reviewed
P01474	ENSG00001474	reviewed
P01475	ENSG00001475	reviewed
P01476	ENSG00001476	reviewed
P01477	ENSG00001477	reviewed
P01478	ENSG00001478	reviewed
P01479	ENSG00001479	reviewed
P01480	ENSG00001480	reviewed
P01481	ENSG00001481	reviewed
P01482	ENSG00001482	reviewed
P01483	ENSG00001483	reviewed
P01484	ENSG00001484	reviewed
P01485	ENSG00001485	reviewed
P01486	ENSG00001486	reviewed
P01487	ENSG00001487	reviewed
P01488	ENSG00001488	reviewed
P01489	ENSG00001489	reviewed
P01490	ENSG00001490	reviewed
P01491	ENSG00001491	reviewed
P01492	ENSG00001492	reviewed
P01493	ENSG00001493	reviewed
P01494	ENSG00001494	reviewed
P01495	ENSG00001495	reviewed
P01496	ENSG00001496	reviewed
P01497	ENSG00001497	reviewed
P01498	ENSG00001498	reviewed
P01499	ENSG00001499	reviewed
P01500	ENSG00001500	reviewed
P01501	ENSG00001501	reviewed
P01502	ENSG00001502	reviewed
P01503	ENSG00001503	reviewed
P01504	ENSG00001504	reviewed
P01505	ENSG00001505	reviewed
P01506	ENSG00001506	reviewed
P01507	ENSG00001507	reviewed
P01508	ENSG00001508	reviewed
P01509	ENSG00001509	reviewed
P01510	ENSG00001510	reviewed
P01511	ENSG00001511	reviewed
P01512	ENSG00001512	reviewed
P01513	ENSG00001513	reviewed
P01514	ENSG00001514	reviewed
P01515	ENSG00001515	reviewed
P01516	ENSG00001516	reviewed
P01517	ENSG00001517	reviewed
P01518	ENSG00001518	reviewed
P01519	ENSG00001519	reviewed
P01520	ENSG00001520	reviewed
P01521	ENSG00001521	reviewed
P01522	ENSG00001522	reviewed
P01523	ENSG00001523	reviewed
P01524	ENSG00001524	reviewed
P01525	ENSG00001525	reviewed
P01526	ENSG00001526	reviewed
P01527	ENSG00001527	reviewed
P01528	ENSG00001528	reviewed
P01529	ENSG00001529	reviewed
P01530	ENSG00001530	reviewed
P01531	ENSG00001531	reviewed
P01532	ENSG00001532	reviewed
P01533	ENSG00001533	reviewed
P01534	ENSG00001534	reviewed
P01535	ENSG00001535	reviewed
P01536	ENSG00001536	reviewed
P01537	ENSG00001537	reviewed
P01538	ENSG00001538	reviewed
P01539	ENSG00001539	reviewed
P01540	ENSG00001540	reviewed
P01541	ENSG00001541	reviewed
P01542	ENSG00001542	reviewed
P01543	ENSG00001543	reviewed
P01544	ENSG00001544	reviewed
P01545	ENSG00001545	reviewed
P01546	ENSG00001546	reviewed
P01547	ENSG00001547	reviewed
P01548	ENSG00001548	reviewed
P01549	ENSG00001549	reviewed
P01550	ENSG00001550	reviewed
P01551	ENSG00001551	reviewed
P01552	ENSG00001552	reviewed
P01553	ENSG00001553	reviewed
P01554	ENSG00001554	reviewed
P01555	ENSG00001555	reviewed
P01556	ENSG00001556	reviewed
P01557	ENSG00001557	reviewed
P01558	ENSG00001558	reviewed
P01559	ENSG00001559	reviewed
P01560	ENSG00001560	reviewed
P01561	ENSG00001561	reviewed
P01562	ENSG00001562	reviewed
P01563	ENSG00001563	reviewed
P01564	ENSG00001564	reviewed
P01565	ENSG00001565	reviewed
P01566	ENSG00001566	reviewed
P01567	ENSG00001567	reviewed
P01568	ENSG00001568	reviewed
P01569	ENSG00001569	reviewed
P01570	ENSG00001570	reviewed
P01571	ENSG00001571	reviewed
P01572	ENSG00001572	reviewed
P01573	ENSG00001573	reviewed
P01574	ENSG00001574	reviewed
P01575	ENSG00001575	reviewed
P01576	ENSG00001576	reviewed
P01577	ENSG00001577	reviewed
P01578	ENSG00001578	reviewed
P01579	ENSG00001579	reviewed
P01580	ENSG00001580	reviewed
P01581	ENSG00001581	reviewed
P01582	ENSG00001582	reviewed
P01583	ENSG00001583	reviewed
P01584	ENSG00001584	reviewed
P01585	ENSG00001585	reviewed
P01586	ENSG00001586	reviewed
P01587	ENSG00001587	reviewed
P01588	ENSG00001588	reviewed
P01589	ENSG00001589	reviewed
P01590	ENSG00001590	reviewed
P01591	ENSG00001591	reviewed
P01592	ENSG00001592	reviewed
P01593	ENSG00001593	reviewed
P01594	ENSG00001594	reviewed
P01595	ENSG00001595	reviewed
P01596	ENSG00001596	reviewed
P01597	ENSG00001597	reviewed
P01598	ENSG00001598	reviewed
P01599	ENSG00001599	reviewed
P01600	ENSG00001600	reviewed
P01601	ENSG00001601	reviewed
P01602	ENSG00001602	reviewed
P01603	ENSG00001603	reviewed
P01604	ENSG00001604	reviewed
P01605	ENSG00001605	reviewed
P01606	ENSG00001606	reviewed
P01607	ENSG00001607	reviewed
P01608	ENSG00001608	reviewed
P01609	ENSG00001609	reviewed
P01610	ENSG00001610	reviewed
P01611	ENSG00001611	reviewed
P01612	ENSG00001612	reviewed
P01613	ENSG00001613	reviewed
P01614	ENSG00001614	reviewed
P01615	ENSG00001615	reviewed
P01616	ENSG00001616	reviewed
P01617	ENSG00001617	reviewed
P01618	ENSG00001618	reviewed
P01619	ENSG00001619	reviewed
P01620	ENSG00001620	reviewed
P01621	ENSG00001621	reviewed
P01622	ENSG00001622	reviewed
P01623	ENSG00001623	reviewed
P01624	ENSG00001624	reviewed
P01625	ENSG00001625	reviewed
P01626	ENSG00001626	reviewed
P01627	ENSG00001627	reviewed
P01628	ENSG00001628	reviewed
P01629	ENSG00001629	reviewed
P01630	ENSG00001630	reviewed
P01631	ENSG00001631	reviewed
P01632	ENSG00001632	reviewed
P01633	ENSG00001633	reviewed
P01634	ENSG00001634	reviewed
P01635	ENSG00001635	reviewed
P01636	ENSG00001636	reviewed
P01637	ENSG00001637	reviewed
P01638	ENSG00001638	reviewed
P01639	ENSG00001639	reviewed
P01640	ENSG00001640	reviewed
P01641	ENSG00001641	reviewed
P01642	ENSG00001642	reviewed
P01643	ENSG00001643	reviewed
P01644	ENSG00001644	reviewed
