layer	feature	freq
rna	ENSG00002519	0
rna	ENSG00003133	0
rna	ENSG00001296	0
rna	ENSG00003329	0
rna	ENSG00003543	0
rna	ENSG00003662	0
rna	ENSG00000559	0
rna	ENSG00001269	0
rna	ENSG00001196	0
rna	ENSG00001596	0
rna	ENSG00000292	0
rna	ENSG00002488	0
rna	ENSG00000732	0
rna	ENSG00003111	0
rna	ENSG00001115	0
rna	ENSG00000705	0
rna	ENSG00003733	0
rna	ENSG00000443	0
rna	ENSG00003981	0
rna	ENSG00003277	0
rna	ENSG00002728	0
rna	ENSG00002171	0
rna	ENSG00002760	0
rna	ENSG00001363	0
rna	ENSG00003654	0
rna	ENSG00002065	0
rna	ENSG00003328	0
rna	ENSG00002829	0
rna	ENSG00001760	0
rna	ENSG00002832	0
rna	ENSG00002431	0
rna	ENSG00001066	0
rna	ENSG00001079	0
rna	ENSG00001626	0
rna	ENSG00002291	0
rna	ENSG00003973	0
rna	ENSG00001171	0
rna	ENSG00001896	0
rna	ENSG00000926	0
rna	ENSG00000178	0
rna	ENSG00003985	0
rna	ENSG00002368	0
rna	ENSG00002786	0
rna	ENSG00002335	0
rna	ENSG00002935	0
rna	ENSG00003250	0
rna	ENSG00000526	0
rna	ENSG00002663	0
rna	ENSG00003089	0
rna	ENSG00000247	0
rna	ENSG00003422	0
rna	ENSG00000365	0
rna	ENSG00002365	0
rna	ENSG00000389	0
rna	ENSG00003362	0
rna	ENSG00002144	0
rna	ENSG00001767	0
rna	ENSG00000779	0
rna	ENSG00002590	0
rna	ENSG00000154	0
rna	ENSG00000009	0
rna	ENSG00003455	0
rna	ENSG00001138	0
rna	ENSG00002091	0
rna	ENSG00001496	0
rna	ENSG00001436	0
rna	ENSG00003238	0
rna	ENSG00003167	0
rna	ENSG00002880	0
rna	ENSG00001310	0
rna	ENSG00003708	0
rna	ENSG00001516	0
rna	ENSG00001687	0
rna	ENSG00003562	0
rna	ENSG00000967	0
rna	ENSG00002338	0
rna	ENSG00000354	0
rna	ENSG00003480	0
rna	ENSG00001364	0
rna	ENSG00001324	0
rna	ENSG00001554	0
rna	ENSG00000806	0
rna	ENSG00003719	0
rna	ENSG00000493	0
rna	ENSG00001526	0
rna	ENSG00000150	0
rna	ENSG00003178	0
rna	ENSG00003237	0
rna	ENSG00000242	0
rna	ENSG00000805	0
rna	ENSG00002367	0
rna	ENSG00003066	0
rna	ENSG00002876	0
rna	ENSG00002521	0
rna	ENSG00001532	0
rna	ENSG00003005	0
rna	ENSG00002891	0
rna	ENSG00000866	0
rna	ENSG00003964	0
rna	ENSG00002126	0
rna	ENSG00002386	0
rna	ENSG00001577	0
rna	ENSG00002085	0
rna	ENSG00002930	0
rna	ENSG00002312	0
rna	ENSG00001570	0
rna	ENSG00003880	0
rna	ENSG00003682	0
rna	ENSG00000251	0
rna	ENSG00003546	0
rna	ENSG00001732	0
rna	ENSG00003725	0
rna	ENSG00002203	0
rna	ENSG00001591	0
rna	ENSG00002898	0
rna	ENSG00002604	0
rna	ENSG00000844	0
rna	ENSG00003750	0
rna	ENSG00000554	0
rna	ENSG00001083	0
rna	ENSG00000356	0
rna	ENSG00000139	0
rna	ENSG00000274	0
rna	ENSG00002417	0
rna	ENSG00003487	0
rna	ENSG00000140	0
rna	ENSG00001180	0
rna	ENSG00003971	0
rna	ENSG00003143	0
rna	ENSG00000665	0
rna	ENSG00000802	0
rna	ENSG00002411	0
rna	ENSG00000305	0
rna	ENSG00000092	0
rna	ENSG00001613	0
rna	ENSG00001234	0
rna	ENSG00000852	0
rna	ENSG00001388	0
rna	ENSG00000888	0
rna	ENSG00003274	0
rna	ENSG00001728	0
rna	ENSG00000131	0
rna	ENSG00000542	0
rna	ENSG00000659	0
rna	ENSG00001790	0
rna	ENSG00002727	0
rna	ENSG00003439	0
rna	ENSG00002490	0
rna	ENSG00001156	0
rna	ENSG00002887	0
rna	ENSG00002202	0
rna	ENSG00001546	0
rna	ENSG00002498	0
rna	ENSG00003213	0
rna	ENSG00003481	0
rna	ENSG00003314	0
rna	ENSG00003375	0
rna	ENSG00002982	0
rna	ENSG00001356	0
rna	ENSG00003992	0
rna	ENSG00000555	0
rna	ENSG00000792	0
rna	ENSG00001834	0
rna	ENSG00000807	0
rna	ENSG00000575	0
rna	ENSG00000344	0
rna	ENSG00001257	0
rna	ENSG00002435	0
rna	ENSG00003759	0
rna	ENSG00001797	0
rna	ENSG00001136	0
rna	ENSG00003588	0
rna	ENSG00000997	0
rna	ENSG00001268	0
rna	ENSG00001411	0
rna	ENSG00001537	0
rna	ENSG00000834	0
rna	ENSG00002742	0
rna	ENSG00001313	0
rna	ENSG00002763	0
rna	ENSG00001476	0
rna	ENSG00003908	0
rna	ENSG00001706	0
rna	ENSG00001179	0
rna	ENSG00003923	0
rna	ENSG00001628	0
rna	ENSG00001278	0
rna	ENSG00003296	0
rna	ENSG00001343	0
rna	ENSG00001176	0
rna	ENSG00002189	0
rna	ENSG00003166	0
rna	ENSG00002222	0
rna	ENSG00002603	0
rna	ENSG00003077	0
rna	ENSG00003659	0
rna	ENSG00002920	0
rna	ENSG00000006	0
rna	ENSG00001900	0
rna	ENSG00003424	0
rna	ENSG00001351	0
rna	ENSG00000347	0
rna	ENSG00003387	0
rna	ENSG00002442	0
rna	ENSG00000935	0
rna	ENSG00000475	0
rna	ENSG00000664	0
rna	ENSG00003411	0
rna	ENSG00002790	0
rna	ENSG00003340	0
rna	ENSG00002081	0
rna	ENSG00003849	0
rna	ENSG00003353	0
rna	ENSG00003341	0
rna	ENSG00000366	0
rna	ENSG00002173	0
rna	ENSG00001842	0
rna	ENSG00001555	0
rna	ENSG00001615	0
rna	ENSG00003582	0
rna	ENSG00001867	0
rna	ENSG00002465	0
rna	ENSG00002877	0
rna	ENSG00002769	0
rna	ENSG00000291	0
rna	ENSG00001891	0
rna	ENSG00001795	0
rna	ENSG00000127	0
rna	ENSG00001272	0
rna	ENSG00002895	0
rna	ENSG00003122	0
rna	ENSG00000114	0
rna	ENSG00002493	0
rna	ENSG00000147	0
rna	ENSG00003025	0
rna	ENSG00002981	0
rna	ENSG00003445	0
rna	ENSG00002206	0
rna	ENSG00002462	0
rna	ENSG00003283	0
rna	ENSG00000995	0
rna	ENSG00002835	0
rna	ENSG00001373	0
rna	ENSG00001788	0
rna	ENSG00000308	0
rna	ENSG00001599	0
rna	ENSG00003344	0
rna	ENSG00000579	0
rna	ENSG00001594	0
rna	ENSG00001043	0
rna	ENSG00003070	0
rna	ENSG00001396	0
rna	ENSG00001956	0
rna	ENSG00000456	0
rna	ENSG00003176	0
rna	ENSG00002801	0
rna	ENSG00002262	0
rna	ENSG00001588	0
rna	ENSG00000580	0
rna	ENSG00001052	0
rna	ENSG00002228	0
rna	ENSG00000412	0
rna	ENSG00003374	0
rna	ENSG00001385	0
rna	ENSG00000206	0
rna	ENSG00001174	0
rna	ENSG00000712	0
rna	ENSG00000160	0
rna	ENSG00000565	0
rna	ENSG00000430	0
rna	ENSG00003742	0
rna	ENSG00001829	0
rna	ENSG00001843	0
rna	ENSG00001116	0
rna	ENSG00002089	0
rna	ENSG00002059	0
rna	ENSG00001798	0
rna	ENSG00000660	0
rna	ENSG00001214	0
rna	ENSG00000598	0
rna	ENSG00001680	0
rna	ENSG00001725	0
rna	ENSG00002881	0
rna	ENSG00002396	0
rna	ENSG00001159	0
rna	ENSG00000136	0
rna	ENSG00003626	0
rna	ENSG00001741	0
rna	ENSG00001723	0
rna	ENSG00002910	0
rna	ENSG00000563	0
rna	ENSG00000203	0
rna	ENSG00001675	0
rna	ENSG00000939	0
rna	ENSG00001750	0
rna	ENSG00000982	0
rna	ENSG00000827	0
rna	ENSG00000301	0
rna	ENSG00000148	0
rna	ENSG00000592	0
rna	ENSG00001878	0
rna	ENSG00001076	0
rna	ENSG00002296	0
rna	ENSG00002581	0
rna	ENSG00002184	0
rna	ENSG00002870	0
rna	ENSG00002569	0
rna	ENSG00001853	0
rna	ENSG00002009	0
rna	ENSG00001477	0
rna	ENSG00000988	0
rna	ENSG00003727	0
rna	ENSG00000502	0
rna	ENSG00001718	0
rna	ENSG00003291	0
rna	ENSG00001785	0
rna	ENSG00000316	0
rna	ENSG00001609	0
rna	ENSG00000972	0
rna	ENSG00000620	0
rna	ENSG00002366	0
rna	ENSG00002402	0
rna	ENSG00000085	0
rna	ENSG00000106	0
rna	ENSG00002286	0
rna	ENSG00001642	0
rna	ENSG00000314	0
rna	ENSG00002645	0
rna	ENSG00000330	0
rna	ENSG00001730	0
rna	ENSG00001849	0
rna	ENSG00003417	0
rna	ENSG00000490	0
rna	ENSG00001197	0
rna	ENSG00003102	0
rna	ENSG00002913	0
rna	ENSG00003343	0
rna	ENSG00001423	0
rna	ENSG00001372	0
rna	ENSG00003928	0
rna	ENSG00002019	0
rna	ENSG00003437	0
rna	ENSG00000222	0
rna	ENSG00003436	0
rna	ENSG00001222	0
rna	ENSG00000463	0
rna	ENSG00000403	0
rna	ENSG00001042	0
rna	ENSG00003323	0
rna	ENSG00003438	0
rna	ENSG00000355	0
rna	ENSG00003264	0
rna	ENSG00000919	0
rna	ENSG00001820	0
rna	ENSG00002174	0
rna	ENSG00002328	0
rna	ENSG00000181	0
rna	ENSG00003068	0
rna	ENSG00003156	0
rna	ENSG00003614	0
rna	ENSG00003724	0
rna	ENSG00002240	0
rna	ENSG00002049	0
rna	ENSG00001772	0
rna	ENSG00003462	0
rna	ENSG00003910	0
rna	ENSG00001377	0
rna	ENSG00001832	0
rna	ENSG00002052	0
rna	ENSG00001685	0
rna	ENSG00003813	0
rna	ENSG00002551	0
rna	ENSG00000996	0
rna	ENSG00000460	0
rna	ENSG00001559	0
rna	ENSG00000980	0
rna	ENSG00002051	0
rna	ENSG00003243	0
rna	ENSG00002045	0
rna	ENSG00003153	0
rna	ENSG00000976	0
rna	ENSG00003968	0
rna	ENSG00003062	0
rna	ENSG00000255	0
rna	ENSG00003788	0
rna	ENSG00003266	0
rna	ENSG00003309	0
rna	ENSG00003822	0
rna	ENSG00001320	0
rna	ENSG00002846	0
rna	ENSG00001072	0
rna	ENSG00001705	0
rna	ENSG00003596	0
rna	ENSG00003949	0
rna	ENSG00000530	0
rna	ENSG00003666	0
rna	ENSG00001028	0
rna	ENSG00002095	0
rna	ENSG00000298	0
rna	ENSG00000707	0
rna	ENSG00001304	0
rna	ENSG00003402	0
rna	ENSG00000034	0
rna	ENSG00001773	0
rna	ENSG00002191	0
rna	ENSG00001757	0
rna	ENSG00002134	0
rna	ENSG00003989	0
rna	ENSG00003512	0
rna	ENSG00002278	0
rna	ENSG00000901	0
rna	ENSG00000507	0
rna	ENSG00003082	0
rna	ENSG00002944	0
rna	ENSG00002217	0
rna	ENSG00000267	0
rna	ENSG00001614	0
rna	ENSG00001213	0
rna	ENSG00001160	0
rna	ENSG00002376	0
rna	ENSG00002172	0
rna	ENSG00001986	0
rna	ENSG00002037	0
rna	ENSG00001877	0
rna	ENSG00000325	0
rna	ENSG00000908	0
rna	ENSG00003899	0
rna	ENSG00002756	0
rna	ENSG00001440	0
rna	ENSG00003608	0
rna	ENSG00002795	0
rna	ENSG00001951	0
rna	ENSG00002270	0
rna	ENSG00003675	0
rna	ENSG00003685	0
rna	ENSG00003124	0
rna	ENSG00003069	0
rna	ENSG00000174	0
rna	ENSG00003447	0
rna	ENSG00000512	0
rna	ENSG00002464	0
rna	ENSG00000184	0
rna	ENSG00001550	0
rna	ENSG00003057	0
rna	ENSG00001558	0
rna	ENSG00000693	0
rna	ENSG00002404	0
rna	ENSG00001124	0
rna	ENSG00001431	0
rna	ENSG00001937	0
rna	ENSG00002658	0
rna	ENSG00000616	0
rna	ENSG00000861	0
rna	ENSG00000381	0
rna	ENSG00002158	0
rna	ENSG00000873	0
rna	ENSG00002748	0
rna	ENSG00003331	0
rna	ENSG00001634	0
rna	ENSG00001994	0
rna	ENSG00001264	0
rna	ENSG00001063	0
rna	ENSG00002481	0
rna	ENSG00001056	0
rna	ENSG00000422	0
rna	ENSG00003420	0
rna	ENSG00000642	0
rna	ENSG00003429	0
rna	ENSG00003400	0
rna	ENSG00003590	0
rna	ENSG00002003	0
rna	ENSG00003834	0
rna	ENSG00002610	0
rna	ENSG00001507	0
rna	ENSG00003083	0
rna	ENSG00001203	0
rna	ENSG00003459	0
rna	ENSG00001538	0
rna	ENSG00002253	0
rna	ENSG00002339	0
rna	ENSG00002741	0
rna	ENSG00002714	0
rna	ENSG00003037	0
rna	ENSG00001208	0
rna	ENSG00000713	0
rna	ENSG00001771	0
rna	ENSG00003398	0
rna	ENSG00001238	0
rna	ENSG00002709	0
rna	ENSG00003334	0
rna	ENSG00001407	0
rna	ENSG00001908	0
rna	ENSG00001825	0
rna	ENSG00000840	0
rna	ENSG00002275	0
rna	ENSG00001398	0
rna	ENSG00002471	0
rna	ENSG00001649	0
rna	ENSG00000062	0
rna	ENSG00003278	0
rna	ENSG00001408	0
rna	ENSG00000701	0
rna	ENSG00003942	0
rna	ENSG00001289	0
rna	ENSG00003504	0
rna	ENSG00003589	0
rna	ENSG00000212	0
rna	ENSG00003660	0
rna	ENSG00002863	0
rna	ENSG00002136	0
rna	ENSG00000086	0
rna	ENSG00001627	0
rna	ENSG00001682	0
rna	ENSG00001140	0
rna	ENSG00002487	0
rna	ENSG00002353	0
rna	ENSG00003945	0
rna	ENSG00000213	0
rna	ENSG00002241	0
rna	ENSG00001761	0
rna	ENSG00001368	0
rna	ENSG00002824	0
rna	ENSG00001936	0
rna	ENSG00003890	0
rna	ENSG00001674	0
rna	ENSG00001419	0
rna	ENSG00001611	0
rna	ENSG00003740	0
rna	ENSG00000826	0
rna	ENSG00001557	0
rna	ENSG00001910	0
rna	ENSG00002837	0
rna	ENSG00002996	0
rna	ENSG00000424	0
rna	ENSG00002977	0
rna	ENSG00002553	0
rna	ENSG00003878	0
rna	ENSG00002351	0
rna	ENSG00003229	0
rna	ENSG00001827	0
rna	ENSG00001513	0
rna	ENSG00002579	0
rna	ENSG00000075	0
rna	ENSG00003230	0
rna	ENSG00000585	0
rna	ENSG00001194	0
rna	ENSG00000551	0
rna	ENSG00002674	0
rna	ENSG00000028	0
rna	ENSG00000115	0
rna	ENSG00001080	0
rna	ENSG00001962	0
rna	ENSG00001933	0
rna	ENSG00001979	0
rna	ENSG00001938	0
rna	ENSG00003605	0
rna	ENSG00001792	0
rna	ENSG00002558	0
rna	ENSG00001034	0
rna	ENSG00000906	0
rna	ENSG00002975	0
rna	ENSG00001722	0
rna	ENSG00002427	0
rna	ENSG00003990	0
rna	ENSG00000288	0
rna	ENSG00002562	0
rna	ENSG00001285	0
rna	ENSG00002354	0
rna	ENSG00002011	0
rna	ENSG00003333	0
rna	ENSG00003413	0
rna	ENSG00001117	0
rna	ENSG00002689	0
rna	ENSG00000785	0
rna	ENSG00001756	0
rna	ENSG00001074	0
rna	ENSG00000004	0
rna	ENSG00001899	0
rna	ENSG00002989	0
rna	ENSG00000349	0
rna	ENSG00002588	0
rna	ENSG00000645	0
rna	ENSG00001135	0
rna	ENSG00003045	0
rna	ENSG00001081	0
rna	ENSG00003997	0
rna	ENSG00000572	0
rna	ENSG00000327	0
rna	ENSG00000842	0
rna	ENSG00000872	0
rna	ENSG00001425	0
rna	ENSG00002900	0
rna	ENSG00001688	0
rna	ENSG00002671	0
rna	ENSG00000329	0
rna	ENSG00002181	0
rna	ENSG00000166	0
rna	ENSG00000998	0
rna	ENSG00003056	0
rna	ENSG00002804	0
rna	ENSG00002399	0
rna	ENSG00000945	0
rna	ENSG00003686	0
rna	ENSG00000673	0
rna	ENSG00003739	0
rna	ENSG00003217	0
rna	ENSG00002039	0
rna	ENSG00003722	0
rna	ENSG00002124	0
rna	ENSG00001903	0
rna	ENSG00000254	0
rna	ENSG00000604	0
rna	ENSG00000715	0
rna	ENSG00003399	0
rna	ENSG00002543	0
rna	ENSG00003423	0
rna	ENSG00000801	0
rna	ENSG00002276	0
rna	ENSG00003001	0
rna	ENSG00002340	0
rna	ENSG00003240	0
rna	ENSG00001260	0
rna	ENSG00002337	0
rna	ENSG00001125	0
rna	ENSG00002122	0
rna	ENSG00002350	0
rna	ENSG00001182	0
rna	ENSG00002983	0
rna	ENSG00002606	0
rna	ENSG00003802	0
rna	ENSG00000989	0
rna	ENSG00002932	0
rna	ENSG00003792	0
rna	ENSG00002883	0
rna	ENSG00003446	0
rna	ENSG00002827	0
rna	ENSG00002517	0
rna	ENSG00000144	0
rna	ENSG00003276	0
rna	ENSG00002109	0
rna	ENSG00000717	0
rna	ENSG00001038	0
rna	ENSG00001845	0
rna	ENSG00002721	0
rna	ENSG00003544	0
rna	ENSG00002389	0
rna	ENSG00001822	0
rna	ENSG00000153	0
rna	ENSG00001403	0
rna	ENSG00001527	0
rna	ENSG00000343	0
rna	ENSG00001277	0
rna	ENSG00002400	0
rna	ENSG00000835	0
rna	ENSG00002789	0
rna	ENSG00000531	0
rna	ENSG00001495	0
rna	ENSG00001862	0
rna	ENSG00003270	0
rna	ENSG00002043	0
rna	ENSG00000924	0
rna	ENSG00003764	0
rna	ENSG00000312	0
rna	ENSG00001316	0
rna	ENSG00002211	0
rna	ENSG00003535	0
rna	ENSG00003959	0
rna	ENSG00002393	0
rna	ENSG00003262	0
rna	ENSG00003617	0
rna	ENSG00003241	0
rna	ENSG00002118	0
rna	ENSG00003717	0
rna	ENSG00000348	0
rna	ENSG00002195	0
rna	ENSG00000404	0
rna	ENSG00003823	0
rna	ENSG00003604	0
rna	ENSG00001464	0
rna	ENSG00000097	0
rna	ENSG00000014	0
rna	ENSG00001572	0
rna	ENSG00003120	0
rna	ENSG00003638	0
rna	ENSG00003390	0
rna	ENSG00001993	0
rna	ENSG00003819	0
rna	ENSG00003355	0
rna	ENSG00003092	0
rna	ENSG00003346	0
rna	ENSG00001816	0
rna	ENSG00001879	0
rna	ENSG00003649	0
rna	ENSG00001702	0
rna	ENSG00003085	0
rna	ENSG00003633	0
rna	ENSG00003136	0
rna	ENSG00000603	0
rna	ENSG00002204	0
rna	ENSG00000539	0
rna	ENSG00001644	0
rna	ENSG00003670	0
rna	ENSG00003269	0
rna	ENSG00001165	0
rna	ENSG00002067	0
rna	ENSG00002130	0
rna	ENSG00000735	0
rna	ENSG00003821	0
rna	ENSG00003094	0
rna	ENSG00002161	0
rna	ENSG00001974	0
rna	ENSG00003197	0
rna	ENSG00003475	0
rna	ENSG00000674	0
rna	ENSG00000105	0
rna	ENSG00001738	0
rna	ENSG00000300	0
rna	ENSG00001562	0
rna	ENSG00001245	0
rna	ENSG00001568	0
rna	ENSG00001954	0
rna	ENSG00001050	0
rna	ENSG00001549	0
rna	ENSG00001287	0
rna	ENSG00003449	0
rna	ENSG00002772	0
rna	ENSG00000055	0
rna	ENSG00000704	0
rna	ENSG00000252	0
rna	ENSG00000253	0
rna	ENSG00001804	0
rna	ENSG00001931	0
rna	ENSG00002268	0
rna	ENSG00002873	0
rna	ENSG00000633	0
rna	ENSG00000219	0
rna	ENSG00002874	0
rna	ENSG00003415	0
rna	ENSG00001127	0
rna	ENSG00003473	0
rna	ENSG00003258	0
rna	ENSG00003196	0
rna	ENSG00000326	0
rna	ENSG00001415	0
rna	ENSG00002378	0
rna	ENSG00002549	0
rna	ENSG00002628	0
rna	ENSG00000902	0
rna	ENSG00001662	0
rna	ENSG00003974	0
rna	ENSG00001857	0
rna	ENSG00003615	0
rna	ENSG00001353	0
rna	ENSG00001489	0
rna	ENSG00003729	0
rna	ENSG00001389	0
rna	ENSG00003952	0
rna	ENSG00000858	0
rna	ENSG00000984	0
rna	ENSG00002859	0
rna	ENSG00003286	0
rna	ENSG00001145	0
rna	ENSG00002159	0
rna	ENSG00001086	0
rna	ENSG00001844	0
rna	ENSG00003117	0
rna	ENSG00002098	0
rna	ENSG00001223	0
rna	ENSG00001837	0
rna	ENSG00002540	0
rna	ENSG00003431	0
rna	ENSG00003251	0
rna	ENSG00003096	0
rna	ENSG00003745	0
rna	ENSG00003378	0
rna	ENSG00000544	0
rna	ENSG00002697	0
rna	ENSG00001978	0
rna	ENSG00002028	0
rna	ENSG00003930	0
rna	ENSG00003397	0
rna	ENSG00000549	0
rna	ENSG00000517	0
rna	ENSG00001689	0
rna	ENSG00001988	0
rna	ENSG00003709	0
rna	ENSG00001681	0
rna	ENSG00001973	0
rna	ENSG00001270	0
rna	ENSG00001290	0
rna	ENSG00000857	0
rna	ENSG00000032	0
rna	ENSG00000724	0
rna	ENSG00001669	0
rna	ENSG00003039	0
rna	ENSG00002734	0
rna	ENSG00000602	0
rna	ENSG00000618	0
rna	ENSG00000943	0
rna	ENSG00002208	0
rna	ENSG00000786	0
rna	ENSG00000195	0
rna	ENSG00001175	0
rna	ENSG00002525	0
rna	ENSG00001894	0
rna	ENSG00003931	0
rna	ENSG00000951	0
rna	ENSG00000689	0
rna	ENSG00000233	0
rna	ENSG00001871	0
rna	ENSG00003048	0
rna	ENSG00003035	0
rna	ENSG00003034	0
rna	ENSG00000200	0
rna	ENSG00003567	0
rna	ENSG00001651	0
rna	ENSG00000080	0
rna	ENSG00001650	0
rna	ENSG00003033	0
rna	ENSG00000426	0
rna	ENSG00001329	0
rna	ENSG00003575	0
rna	ENSG00001101	0
rna	ENSG00003254	0
rna	ENSG00003038	0
rna	ENSG00001927	0
rna	ENSG00001909	0
rna	ENSG00003297	0
rna	ENSG00002986	0
rna	ENSG00003873	0
rna	ENSG00003912	0
rna	ENSG00000449	0
rna	ENSG00003553	0
rna	ENSG00003305	0
rna	ENSG00002255	0
rna	ENSG00002698	0
rna	ENSG00001315	0
rna	ENSG00002624	0
rna	ENSG00000169	0
rna	ENSG00002554	0
rna	ENSG00002175	0
rna	ENSG00002860	0
rna	ENSG00001339	0
rna	ENSG00002142	0
rna	ENSG00000241	0
rna	ENSG00002778	0
rna	ENSG00002012	0
rna	ENSG00001545	0
rna	ENSG00000108	0
rna	ENSG00001370	0
rna	ENSG00000561	0
rna	ENSG00003256	0
rna	ENSG00002358	0
rna	ENSG00002942	0
rna	ENSG00003775	0
rna	ENSG00003689	0
rna	ENSG00002911	0
rna	ENSG00001139	0
rna	ENSG00000676	0
rna	ENSG00002699	0
rna	ENSG00001204	0
rna	ENSG00001342	0
rna	ENSG00001010	0
rna	ENSG00002925	0
rna	ENSG00002585	0
rna	ENSG00003493	0
rna	ENSG00002075	0
rna	ENSG00001391	0
rna	ENSG00003768	0
rna	ENSG00003325	0
rna	ENSG00001884	0
rna	ENSG00003149	0
rna	ENSG00000690	0
rna	ENSG00003030	0
rna	ENSG00002594	0
rna	ENSG00000454	0
rna	ENSG00003972	0
rna	ENSG00000671	0
rna	ENSG00001319	0
rna	ENSG00003569	0
rna	ENSG00002587	0
rna	ENSG00001653	0
rna	ENSG00002651	0
rna	ENSG00002626	0
rna	ENSG00002596	0
rna	ENSG00000537	0
rna	ENSG00000056	0
rna	ENSG00002103	0
rna	ENSG00003576	0
rna	ENSG00002062	0
rna	ENSG00001551	0
rna	ENSG00003938	0
rna	ENSG00000159	0
rna	ENSG00003698	0
rna	ENSG00003135	0
rna	ENSG00000130	0
rna	ENSG00002193	0
rna	ENSG00001418	0
rna	ENSG00000635	0
rna	ENSG00001774	0
rna	ENSG00001346	0
rna	ENSG00003186	0
rna	ENSG00003752	0
rna	ENSG00002972	0
rna	ENSG00001459	0
rna	ENSG00001369	0
rna	ENSG00003458	0
rna	ENSG00001693	0
rna	ENSG00002844	0
rna	ENSG00001240	0
rna	ENSG00001075	0
rna	ENSG00002979	0
rna	ENSG00003293	0
rna	ENSG00000708	0
rna	ENSG00003154	0
rna	ENSG00002884	0
rna	ENSG00003179	0
rna	ENSG00003064	0
rna	ENSG00000180	0
rna	ENSG00003862	0
rna	ENSG00001932	0
rna	ENSG00002732	0
rna	ENSG00000003	0
rna	ENSG00003807	0
rna	ENSG00000038	0
rna	ENSG00001781	0
rna	ENSG00003628	0
rna	ENSG00002812	0
rna	ENSG00002343	0
rna	ENSG00002811	0
rna	ENSG00001661	0
rna	ENSG00002090	0
rna	ENSG00002105	0
rna	ENSG00003452	0
rna	ENSG00000379	0
rna	ENSG00003076	0
rna	ENSG00003148	0
rna	ENSG00003844	0
rna	ENSG00002397	0
rna	ENSG00003632	0
rna	ENSG00002146	0
rna	ENSG00000230	0
rna	ENSG00003188	0
rna	ENSG00001645	0
rna	ENSG00002102	0
rna	ENSG00001144	0
rna	ENSG00000008	0
rna	ENSG00001350	0
rna	ENSG00003086	0
rna	ENSG00001429	0
rna	ENSG00003465	0
rna	ENSG00002200	0
rna	ENSG00003797	0
rna	ENSG00003620	0
rna	ENSG00001641	0
rna	ENSG00001902	0
rna	ENSG00000522	0
rna	ENSG00000536	0
rna	ENSG00000037	0
rna	ENSG00001446	0
rna	ENSG00003789	0
rna	ENSG00003451	0
rna	ENSG00003284	0
rna	ENSG00001435	0
rna	ENSG00002472	0
rna	ENSG00001491	0
rna	ENSG00000946	0
rna	ENSG00003692	0
rna	ENSG00002740	0
rna	ENSG00001608	0
rna	ENSG00002214	0
rna	ENSG00002680	0
rna	ENSG00001690	0
rna	ENSG00002964	0
rna	ENSG00002882	0
rna	ENSG00002641	0
rna	ENSG00002839	0
rna	ENSG00000876	0
rna	ENSG00003112	0
rna	ENSG00003946	0
rna	ENSG00003147	0
rna	ENSG00001275	0
rna	ENSG00002237	0
rna	ENSG00002518	0
rna	ENSG00003524	0
rna	ENSG00001439	0
rna	ENSG00001542	0
rna	ENSG00002054	0
rna	ENSG00000772	0
rna	ENSG00001512	0
rna	ENSG00000897	0
rna	ENSG00001548	0
rna	ENSG00003846	0
rna	ENSG00003356	0
rna	ENSG00003530	0
rna	ENSG00003233	0
rna	ENSG00000999	0
rna	ENSG00000002	0
rna	ENSG00003932	0
rna	ENSG00000492	0
rna	ENSG00001616	0
rna	ENSG00003193	0
rna	ENSG00003766	0
rna	ENSG00000656	0
rna	ENSG00001977	0
rna	ENSG00002950	0
rna	ENSG00002121	0
rna	ENSG00002257	0
rna	ENSG00001186	0
rna	ENSG00003163	0
rna	ENSG00001824	0
rna	ENSG00003785	0
rna	ENSG00000535	0
rna	ENSG00001064	0
rna	ENSG00002419	0
rna	ENSG00002460	0
rna	ENSG00002087	0
rna	ENSG00002644	0
rna	ENSG00000661	0
rna	ENSG00003573	0
rna	ENSG00002653	0
rna	ENSG00002773	0
rna	ENSG00001961	0
rna	ENSG00000933	0
rna	ENSG00002934	0
rna	ENSG00002001	0
rna	ENSG00003209	0
rna	ENSG00000596	0
rna	ENSG00000758	0
rna	ENSG00001840	0
rna	ENSG00001468	0
rna	ENSG00002297	0
rna	ENSG00003351	0
rna	ENSG00003574	0
rna	ENSG00003157	0
rna	ENSG00000051	0
rna	ENSG00002272	0
rna	ENSG00003647	0
rna	ENSG00000907	0
rna	ENSG00002858	0
rna	ENSG00001033	0
rna	ENSG00003222	0
rna	ENSG00003906	0
rna	ENSG00002970	0
rna	ENSG00002497	0
rna	ENSG00003468	0
rna	ENSG00003815	0
rna	ENSG00003106	0
rna	ENSG00000895	0
rna	ENSG00001950	0
rna	ENSG00002547	0
rna	ENSG00000043	0
rna	ENSG00002595	0
rna	ENSG00000990	0
rna	ENSG00000809	0
rna	ENSG00000986	0
rna	ENSG00003098	0
rna	ENSG00003755	0
rna	ENSG00002055	0
rna	ENSG00002405	0
rna	ENSG00000367	0
rna	ENSG00000111	0
rna	ENSG00003978	0
rna	ENSG00001517	0
rna	ENSG00001163	0
rna	ENSG00002702	0
rna	ENSG00000518	0
rna	ENSG00000497	0
rna	ENSG00003879	0
rna	ENSG00003004	0
rna	ENSG00002293	0
rna	ENSG00000046	0
rna	ENSG00003054	0
rna	ENSG00003519	0
rna	ENSG00003023	0
rna	ENSG00002836	0
