group_id	majority_protein_ids	unique_peptides	reverse	potential_contaminant	only_identified_by_site
PG01330	P02926	6			
PG01331	P02929	2			
PG01332	P02931	3			
PG01333	P02935	3			
PG01335	P02940	9			
PG01336	P02943	10			
PG01337	P02950	6			
PG01338	P02951	3			
PG01339	P02952	3			
PG01341	P02956	6			
PG01342	P02960	2			
PG01343	P02963	2			
PG01344	P02964	5			
PG01345	P02967	3			
PG01347	P02974	3			
PG01349	P02981	6			
PG01350	P02983	8			
PG01351	P02985	10			
PG01352	P02994	3			
PG01353	P02996	4			
PG01354	P02998	6			
PG01355	P03000	5			
PG01356	P03002	6			
PG01356b	P03002	5			
PG01357	P03003	6			
PG01358	P03005	3			
PG01358b	P03005	5			
PG01359	P03006	6			
PG01360	P03008	2			
PG01361	P03009	4			
PG01361b	P03009	5			
PG01362	P03011	5			
PG01364	P03015	7			
PG01365	P03016	8			
PG01366	P03017	4			
PG01367	P03019	4			
PG01370	P03027	6			
PG01371	P03031	4			
PG01373	P03036	4			
PG01374	P03037	7			
PG01375	P03039	6			
PG01376	P03040	2			
PG01377	P03042	4			
PG01378	P03043	5			
PG01380	P03048	6			
PG01381	P03049	6			
PG01382	P03050	3			
PG01383	P03051	8			
PG01384	P03052	6			
PG01385	P03053	8			
PG01385b	P03053	7			
PG01386	P03057	6			
PG01387	P03058	11			
PG01388	P03059	5			
PG01389	P03062	5			
PG01391	P03065	6			
PG01392	P03067	3			
PG01394	P03069	9			
PG01395	P03071	5			
PG01396	P03073	7			
PG01397	P03074	6			
PG01398	P03075	7			
PG01399	P03076	4			
PG01400	P03077	3			
PG01401	P03078	7			
PG01403	P03081	4			
PG01404	P03082	7			
PG01407	P03096	9			
PG01408	P03098	5			
PG01409	P03100	11			
PG01410	P03103	5			
PG01411	P03104	3			
PG01412	P03105	6			
PG01414	P03108	7			
PG01416	P03113	8			
PG01417	P03114	5			
PG01419	P03116;Q9ORPH7	6			
PG01420	P03118	6			
PG01421	P03119	7			
PG01422	P03122	5			
PG01423	P03125	6			
PG01424	P03126	5			
PG01425	P03128	5			
PG01426	P03132	4			
PG01427	P03134	8			
PG01428	P03138	6			
PG01429	P03140	6			
PG01430	P03144	4			
PG01431	P03151	7			
PG01433	P03154	5			
PG01436	P03159	5			
PG01438	P03163	5			
PG01439	P03165	5			
PG01440	P03166	4			
PG01441	P03167	7			
PG01442	P03169	8			
PG01443	P03170	3			
PG01444	P03171	5			
PG01445	P03175	5			
PG01446	P03181	3			
PG01447	P03186	3			
PG01448	P03188	4			
PG01449	P03189	9			
PG01451	P03191	5			
PG01452	P03194	3			
PG01453	P03199	3			
PG01454	P03201	3			
PG01455	P03202	4			
PG01456	P03205	4			
PG01457	P03206	5			
PG01458	P03209	7			
PG01459	P03211	4			
PG01460	P03217	10			
PG01461	P03225	7			
PG01462	P03227	4			
PG01463	P03229	7			
PG01464	P03232	3			
PG01465	P03236	5			
PG01466	P03238	3			
PG01467	P03239	6			
PG01468	P03240	7			
PG01469	P03241	5			
PG01470	P03243	4			
PG01470b	P03243	4			
PG01471	P03245	5			
PG01473	P03250	3			
PG01474	P03257	5			
PG01475	P03258	4			
PG01479	P03263	2			
PG01480	P03268	4			
PG01481	P03269	4			
PG01482	P03271	5			
PG01485	P03274	5			
PG01487	P03279	4			
PG01488	P03280	7			
PG01489	P03285	4			
PG01491	P03288	6			
PG01492	P03290	3			
PG01493	P03292	7			
PG01494	P03293	5			
PG01495	P03295	6			
PG01496	P03296	5			
PG01497	P03299	7			
PG01498	P03302	6			
PG01499	P03306	6			
PG01500	P03309	11			
PG01502	P03312	4			
PG01502b	P03312	5			
PG01503	P03313	6			
PG01504	P03315	3			
PG01505	P03316	6			
PG01506	P03317	3			
PG01507	P03318	5			
PG01508	P03319	7			
PG01509	P03321	3			
PG01513	P03326	7			
PG01514	P03329	4			
PG01515	P03331	3			
PG01517	P03336	4			
PG01518	P03338	7			
PG01519	P03341	8			
PG01520	P03344	5			
PG01522	P03347	5			
PG01523	P03348	9			
PG01524	P03349	4			
PG01525	P03352	7			
PG01526	P03353	5			
PG01527	P03354	5			
PG01528	P03359	8			
PG01529	P03361	3			
PG01530	P03362	4			
PG01531	P03365	6			
PG01532	P03368	4			
PG01533	P03369	3			
PG01535	P03373	3			
PG01536	P03375	3			
PG01538	P03379	7			
PG01539	P03380	6			
PG01540	P03381	5			
PG01541	P03382	5			
PG01542	P03383	5			
PG01543	P03385	5			
PG01544	P03386	4			
PG01545	P03387	6			
PG01547	P03392	5			
PG01548	P03393	3			
PG01549	P03395	5			
PG01551	P03397	6			
PG01552	P03398	5			
PG01553	P03399	9			
PG01554	P03400	8			
PG01555	P03401	4			
PG01556	P03402	5			
PG01557	P03406	6			
PG01559	P03408	5			
PG01560	P03411	2			
PG01561	P03413	5			
PG01564	P03417	5			
PG01564b	P03417	6			
PG01565	P03418	4			
PG01567	P03421	5			
PG01568	P03422	4			
PG01569	P03425	6			
PG01570	P03427	2			
PG01571	P03428	4			
PG01572	P03429	6			
PG01573	P03430	3			
PG01575	P03433	4			
PG01577	P03439	4			
PG01578	P03443	8			
PG01579	P03446	6			
PG01580	P03448	5			
PG01581	P03449	3			
PG01582	P03451	4			
PG01584	P03454	4			
PG01586	P03456	2			
PG01587	P03457	7			
PG01588	P03460	5			
PG01590	P03467	5			
PG01591	P03472	5			
PG01593	P03475	7			
PG01596	P03482	5			
PG01597	P03485	4			
PG01599	P03488	4			
PG01600	P03489	5			
PG01601	P03491	4			
PG01602	P03495;Q9ORPH16	7			
PG01603	P03497	5			
PG01603b	P03497	2			
PG01605	P03499	2			
PG01606	P03501	4			
PG01607	P03503	5			
PG01608	P03504	4			
PG01610	P03507	3			
PG01611	P03510	5			
PG01612b	P03511	4			
PG01613	P03512	9			
PG01614	P03516	5			
PG01615	P03517	6			
PG01615b	P03517	3			
PG01616	P03518	6			
PG01617	P03521	5			
PG01619	P03525	11			
PG01620	P03528	3			
PG01621	P03529	7			
PG01623	P03531	7			
PG01624	P03533	3			
PG01625	P03535	2			
PG01626	P03540	6			
PG01627	P03543	3			
PG01628	P03551	4			
PG01629	P03554	5			
PG01630	P03555	4			
PG01632	P03558	6			
PG01633	P03559	6			
PG01634	P03562	8			
PG01634b	P03562	5			
PG01635	P03563	6			
PG01637	P03566	4			
PG01639	P03574	5			
PG01640	P03578	5			
PG01641	P03580	2			
PG01642	P03582	5			
PG01643	P03585	5			
PG01645	P03591	8			
PG01646	P03593	6			
PG01646b	P03593	6			
PG01648	P03599	4			
PG01649	P03600	7			
PG01650	P03602	11			
PG01651	P03611	2			
PG01652	P03612	7			
PG01653	P03613	3			
PG01654	P03614	3			
PG01655	P03616	5			
PG01656	P03617	3			
PG01657	P03622	4			
PG01657b	P03622	5			
PG01658	P03624	10			
PG01660	P03626	7			
PG01661	P03629	4			
PG01662	P03635	5			
PG01663	P03637	2			
PG01664	P03640	3			
PG01665	P03643	2			
PG01666	P03645	5			
PG01667	P03648	2			
PG01668	P03650	2			
PG01669	P03657	7			
PG01670	P03658	7			
PG01672	P03662	4			
PG01673	P03665	9			
PG01675	P03668	6			
PG01676	P03671;Q9ORPH15	2			
PG01677	P03673	3			
PG01679	P03676	6			
PG01680	P03677	7			
PG01682	P03686	4			
PG01683	P03687	7			
PG01684	P03689	6			
PG01685	P03692	2			
PG01686	P03693	6			
PG01687	P03695	8			
PG01688	P03696	5			
PG01689	P03698	3			
PG01690	P03701	6			
PG01691	P03703	9			
PG01693	P03707	4			
PG01694	P03708	8			
PG01696	P03712	5			
PG01697	P03713	6			
PG01699	P03716	2			
PG01700	P03717	5			
PG01701	P03718	5			
PG01702	P03719	2			
PG01705	P03725	6			
PG01705b	P03725	11			
PG01706	P03726	6			
PG01708	P03730	7			
PG01709	P03732	6			
PG01710	P03738	3			
PG01711	P03739	7			
PG01712	P03740	7			
PG01713	P03741	6			
PG01714	P03742	6			
PG01715	P03744	2			
PG01716	P03745	3			
PG01716b	P03745	4			
PG01717	P03751	2			
PG01718	P03754	4			
PG01721	P03760	9			
PG01723	P03765	6			
PG01724	P03767	5			
PG01725	P03777	4			
PG01726	P03779	3			
PG01727	P03781	5			
PG01728	P03782	6			
PG01729	P03786	3			
PG01730	P03787	11			
PG01732	P03790	2			
PG01733	P03791	2			
PG01734	P03794	7			
PG01735	P03798	8			
PG01737	P03800	3			
PG01739	P03803	5			
PG01740	P03805	7			
PG01741	P03806	6			
PG01742	P03808	5			
PG01743	P03812	4			
PG01744	P03813	9			
PG01745	P03814	7			
PG01746	P03818	5			
PG01747	P03821	11			
PG01749	P03824	9			
PG01750	P03825	7			
PG01751	P03826	4			
PG01752	P03829	4			
PG01753	P03830	7			
PG01754	P03831	4			
PG01755	P03836	9			
PG01756	P03837	4			
PG01757	P03841	10			
PG01758	P03846	5			
PG01759	P03848	4			
PG01760	P03851	6			
PG01761	P03854	6			
PG01762	P03856	4			
PG01763	P03858	6			
PG01764	P03859	3			
PG01764b	P03859	5			
PG01765	P03861	2			
PG01766	P03862	3			
PG01767	P03863	3			
PG01768	P03865	3			
PG01770	P03867	3			
PG01771	P03868	6			
PG01772	P03869	2			
PG01773	P03871	4			
PG01775	P03875	9			
PG01777	P03881	7			
PG01778	P03882	2			
PG01779	P03884	3			
PG01780	P03886	5			
PG01781	P03888	8			
PG01783	P03893	5			
PG01784	P03896	4			
PG01785	P03897	6			
PG01786	P03899	9			
PG01787	P03903	4			
PG01788	P03905	2			
PG01788b	P03905;Q9ORPH1	3			
PG01789	P03908;Q9ORPH18	4			
PG01790	P03910	3			
PG01791	P03911	6			
PG01792	P03913	8			
PG01794	P03918	3			
PG01795	P03919	5			
PG01796	P03920	3			
PG01796b	P03920	6			
PG01797	P03921	5			
PG01798	P03922	3			
PG01799	P03923	5			
PG01800	P03925	5			
PG01801	P03928	5			
PG01804	P03932	9			
PG01805	P03939	9			
PG01806	P03940	4			
PG01807	P03944	4			
PG01807b	P03944	4			
PG01808	P03946	5			
PG01809	P03948	7			
PG01810	P03954	6			
PG01812	P03956	7			
PG01813	P03963	2			
PG01814	P03964	4			
PG01815	P03967	5			
PG01816	P03969	4			
PG01817	P03971	2			
PG01818	P03972	3			
PG01819	P03974	7			
PG01820	P03976	4			
PG01821	P03977	3			
PG01822	P03979	4			
PG01823	P03981	5			
PG01824	P03985	4			
PG01826	P03990	6			
PG01827	P03991	9			
PG01828	P03992	4			
PG01829	P03995	9			
PG01830	P03997	5			
PG01831	P04000	4			
PGSHARED0001	P01324;P01950	5			
PGSHARED0002	P03414;P03876	6			
PGSHARED0004	P00530;P01707	6			
PGSHARED0005	P00442;P02396	4			
PGSHARED0006	P00063;P03724	5			
PGSHARED0007	P01468;P03260	10			
PGSHARED0008	P01302;P02718	6			
PGSHARED0009	P00482;P03799	5			
PGSHARED0010	P01764;P02972	5			
PGSHARED0011	P00858;P03523	5			
PGSHARED0012	P02813;P03396	3			
PGSHARED0013	P00936;P01896	4			
PGSHARED0014	P01215;P01843	2			
PGSHARED0015	P02492;P02545	3			
PGSHARED0016	P01738;P01903;P01903	6			
PGSHARED0017	P03325;P03866	4			
PGSHARED0018	P01451;P02686	8			
PGSHARED0019	P00387;P03345	3			
PGSHARED0020	P02638;P03323	7			
PGSHARED0021	P00724;P01391	7			
PGSHARED0022	P00882;P01607	8			
PGSHARED0023	P00108;P00321	3			
PGSHARED0024	P00409;P01559	3			
PGSHARED0025	P00526;P02208;P00526	5			
PGSHARED0026	P01726;P02139	9			
PGSHARED0029	P00565;P03152	5			
PGSHARED0030	P00747;P02544	7			
PGSHARED0031	P00993;P02672	4			
PGSHARED0032	P00038;P02662;P02662	6			
PGSHARED0033	P00885;P02562	4			
PGSHARED0034	P01016;P03370	5			
PGSHARED0036	P00576;P00818	5			
PGSHARED0037	P00394;P03723	9			
PGSHARED0038	P01915;P03064	2			
PGSHARED0039	P00821;P01525	10			
PGSHARED0040	P01084;P01438	5			
PGSHARED0041	P01064;P01705	5			
PGSHARED0042	P01647;P03162	2			
PGSHARED0043	P01295;P02602	9			
PGSHARED0044	P03478;P03498;P03478	4			
PGSHARED0045	P02310;P03452	6			
PGSHARED0046	P01663;P03530	2			
PGSHARED0047	P01750;P02445	10			
PGSHARED0048	P02687;P03705	5			
PGSHARED0049	P00231;P02773	4			
PGSHARED0050	P01297;P03714;P03714	4			
PGSHARED0051	P01157;P03917;P03917	11			
PGSHARED0052	P01693;P03247	6			
PGSHARED0053	P01560;P03595	6			
PGSHARED0054	P01459;P02654	5			
PGSHARED0055	P00785;P01495;P01495	5			
PGSHARED0056	P01489;P03012	3			
PGSHARED0058	P00075;P02768	5			
PGSHARED0059	P00412;P01291	2			
PGSHARED0060	P00807;P02249	5			
PGSHARED0061	P03625;P03675	9			
PGSHARED0062	P00735;P01117	9			
PGSHARED0063	P02167;P03026	6			
PGSHARED0064	P02267;P02339	2			
PGSHARED0065	P01313;P01876	3			
PGSHARED0066	P02881;P03024	3			
PGSHARED0067	P03465;P03988	7			
PGSHARED0068	P02888;P03571	4			
PGSHARED0069	P00529;P00541	6			
PGSHARED0070	P01510;P02762	5			
PGSHARED0071	P00636;P01668	3			
PGSHARED0072	P01636;P02572	2			
PGSHARED0073	P01469;P02746	5			
