gene_id	archetype	rna_responds	prot_responds	regulated	amplitude_a	t_half_M0_h	t_half_M1_h	identifiable	lrt	lrt_p	lrt_fdr	gof_M0_p	rna_any_fdr	prot_any_fdr	lfc_rna_t0	lfc_rna_t6	lfc_rna_t24	lfc_rna_t48	lfc_prot_t0	lfc_prot_t6	lfc_prot_t24	lfc_prot_t48	pred_prot_t0	pred_prot_t6	pred_prot_t24	pred_prot_t48
ENSG00000604	unchanged	FALSE	FALSE	FALSE	0.432	192.61	0.5	FALSE	0.628	0.428191765590025	0.68275266219634	0.538663534965486	0.791251770317438	0.96980326934978	0	-0.222	-0.389	-0.232	0	-0.196	-0.211	0.063	0	-0.002	-0.02	-0.041
ENSG00000606	unchanged	FALSE	FALSE	FALSE	1.266	0.5	0.5	TRUE	0.1	0.751786911361724	0.882225202127174	0.620344635170988	0.740895304346271	0.9140358817562	0	-0.263	-0.351	-0.086	0	-0.389	-0.299	-0.403	0	-0.231	-0.347	-0.093
ENSG00000607	unchanged	FALSE	FALSE	FALSE	3.101	0.5	8.35	TRUE	1.253	0.263059790207794	0.519671252398282	0.130279033904573	0.779884531769601	0.846796987832518	0	-0.1	-0.054	-0.254	0	-0.246	-0.581	-0.353	0	-0.088	-0.056	-0.248
ENSG00000614	unchanged	FALSE	FALSE	FALSE	60.806	25.77	288	TRUE	1.273	0.259113286797992	0.515150030612895	0.102200625983536	0.962493027491961	0.524985254204151	0	0.076	0.086	-0.083	0	-0.458	0.2	0.354	0	0.006	0.035	0.015
ENSG00000619	unchanged	FALSE	FALSE	FALSE	-0.89	288	0.5	FALSE	7.823	0.00515811117867637	0.0294442179782776	0.0141838707599156	0.542702417765544	0.499435186483757	0	0.269	0.672	0.245	0	-0.234	-0.651	-0.037	0	0.002	0.026	0.054
ENSG00000631	anticorrelated	TRUE	TRUE	TRUE	-6.054	288	288	FALSE	92.635	6.28942038055195e-22	2.43029654192097e-20	2.67016725256141e-23	1.0877472975574e-43	1.08288609833391e-10	0	2.064	1.774	1.081	0	-0.934	-0.798	-1.886	0	0.025	0.183	0.291
ENSG00000634	kinetics_limited	TRUE	FALSE	FALSE	1.938	139.61	288	FALSE	0.142	0.706002987566675	0.863592940148523	0.105727396713523	3.58519182327134e-48	0.12339400763516	0	1.126	1.804	1.701	0	-0.47	0.042	0.63	0	0.022	0.223	0.5
ENSG00000638	unchanged	FALSE	FALSE	FALSE	1.416	0.5	1.81	TRUE	0.632	0.426680115788724	0.68275266219634	0.173357411389984	0.522488444623601	0.482425683988518	0	-0.308	-0.236	-0.506	0	-0.368	-0.693	-0.455	0	-0.27	-0.239	-0.498
ENSG00000641	kinetics_limited	TRUE	TRUE	FALSE	1.466	226.24	288	FALSE	0.037	0.846545091065755	0.930520388210134	0.00273206385867038	1.1315000049037e-22	0.0389933069058846	0	0.707	1.543	1.917	0	0.548	-1.384	0.824	0	0.008	0.098	0.299
ENSG00000643	unchanged	FALSE	FALSE	FALSE	1.808	0.5	1.67	TRUE	0.914	0.339050968078728	0.602535151998399	0.404062395638203	0.182203202946672	0.89923955340365	0	-0.204	-0.081	-0.311	0	-0.323	-0.364	-0.416	0	-0.18	-0.086	-0.304
ENSG00000644	buffered	TRUE	TRUE	TRUE	0.502	73.35	3.45	FALSE	14.552	0.000136352651867047	0.00123043979858467	4.30120794270482e-05	8.73017054419558e-89	0.000136245277637504	0	2.863	2.469	1.299	0	0.579	1.678	0.335	0	0.165	0.954	1.203
ENSG00000646	kinetics_limited	TRUE	FALSE	FALSE	0.123	265.74	4.05	FALSE	0.31	0.577527985835304	0.781836160192971	0.850388587981141	3.01478659886594e-32	0.962447818310965	0	-2.255	-0.846	0.201	0	-0.069	-0.149	0.023	0	-0.011	-0.054	-0.067
ENSG00000648	unchanged	FALSE	FALSE	FALSE	1.708	1.03	1.67	TRUE	0.245	0.620779890888204	0.804762492894764	0.0491097501313233	0.661863890891988	0.798582036070526	0	-0.1	0.069	0.195	0	0.295	0.6	0.317	0	-0.076	0.055	0.187
ENSG00000649	kinetic_lag	TRUE	FALSE	FALSE	0.591	38.53	4.76	TRUE	4.743	0.0294244535267304	0.117616475664028	0.074401309306538	3.69387760648933e-44	0.239139160427161	0	1.964	1.587	0.624	0	0.401	1.087	0.429	0	0.161	0.809	0.917
ENSG00000651	kinetics_limited	TRUE	FALSE	FALSE	-0.072	288	0.5	FALSE	1.347	0.245780937075157	0.500529556989543	0.0595366062557983	5.62269480761314e-41	0.596631518577876	0	-0.83	-2.469	-2.449	0	0.613	0.153	0.029	0	-0.005	-0.046	-0.113
ENSG00000655	unchanged	FALSE	FALSE	FALSE	0.425	45.26	6.06	TRUE	0.093	0.759832176603514	0.88572904256902	0.873233891912302	0.656757307179053	0.975892837437251	0	-0.313	-0.46	-0.296	0	0.074	-0.211	-0.113	0	-0.013	-0.095	-0.175
ENSG00000659	kinetic_lag	TRUE	FALSE	FALSE	0.399	45.26	4.76	TRUE	1.055	0.304423748994223	0.565680135307391	0.547041695764811	1.4424747675798e-29	0.485267392828773	0	-1.341	-0.933	-0.409	0	-0.091	-0.454	-0.154	0	-0.045	-0.241	-0.354
ENSG00000660	concordant	TRUE	TRUE	FALSE	0.854	6.06	4.05	TRUE	0.275	0.599858842441705	0.79128551910987	0.694609639485839	1.0800393216337e-23	0.0374185070851213	0	-1.918	-0.927	0.025	0	-0.549	-0.92	-0.33	0	-0.399	-1.102	-0.281
ENSG00000661	unchanged	FALSE	FALSE	FALSE	-5.576	288	30.27	FALSE	10.908	0.000957692366697144	0.00732610353610455	0.00111450743700039	0.808981712894686	0.600017535250827	0	-0.197	-0.374	-0.264	0	0.662	0.445	1.066	0	-0.001	-0.012	-0.028
ENSG00000663	kinetics_limited	TRUE	FALSE	FALSE	0.659	62.44	30.27	FALSE	0.037	0.848424614041179	0.931227890284091	0.9316798430894	6.98799797177155e-28	0.77280846689868	0	1.17	1.169	0.728	0	-0.013	0.398	0.465	0	0.05	0.328	0.497
ENSG00000664	kinetics_limited	TRUE	FALSE	FALSE	0.652	79.49	41.76	FALSE	0.029	0.864741550504381	0.937542275202646	0.0556642518973206	4.76023990996198e-31	0.149362192470775	0	1.224	1.33	1.243	0	-0.612	0.551	0.449	0	0.042	0.302	0.546
ENSG00000666	unchanged	FALSE	FALSE	FALSE	0.123	208.75	8.35	FALSE	0.008	0.928802552490669	0.965980294412311	0.501318206144867	0.715245635293309	0.934680950740661	0	-0.148	-0.334	-0.27	0	0.303	-0.111	-0.005	0	-0.001	-0.014	-0.034
ENSG00000667	concordant	TRUE	TRUE	FALSE	0.518	21.94	8.35	TRUE	0.563	0.452922614194285	0.704390484613816	0.15278143424885	1.89919763351372e-85	5.50809480740342e-05	0	-2.204	-2.934	-2.935	0	0.296	-1.024	-1.37	0	-0.13	-0.762	-1.532
ENSG00000668	kinetics_limited	TRUE	FALSE	FALSE	-0.037	288	0.5	FALSE	1.187	0.275940002522496	0.535188653541057	0.146903456522669	1.56291749092385e-76	0.133958236807975	0	-2.671	-3.114	-3.132	0	0.432	-0.091	0.066	0	-0.011	-0.065	-0.138
ENSG00000671	unchanged	FALSE	FALSE	FALSE	-41.613	288	288	FALSE	3.076	0.0794484201747903	0.237086671689919	0.204389094452394	0.525543371871988	0.925215972399307	0	-0.461	-0.001	0.13	0	0.202	0.433	0.353	0	-0.003	-0.012	-0.007
ENSG00000673	protein_only	FALSE	TRUE	FALSE	-26.077	288	288	FALSE	20.079	7.43058466871853e-06	8.29473414500653e-05	5.84556089408664e-06	0.136828831472914	0.000895651607192656	0	-0.294	-0.613	-0.204	0	-0.247	0.121	1.171	0	-0.002	-0.018	-0.037
ENSG00000675	kinetics_limited	TRUE	FALSE	FALSE	-0.147	288	0.5	FALSE	4.228	0.0397548394729276	0.146480545441814	0.060552452568349	1.73397376158194e-22	0.913928117192449	0	-1.635	-2.859	-2.346	0	0.556	0.37	0.188	0	-0.008	-0.057	-0.126
ENSG00000676	protein_only	FALSE	TRUE	FALSE	-6.387	288	7.71	FALSE	25.987	3.43774007928757e-07	4.50493417346641e-06	1.7883046656908e-06	0.445696134219928	0.024655016932334	0	-0.572	-0.118	-0.1	0	0.646	1.727	0.589	0	-0.004	-0.016	-0.021
ENSG00000678	concordant	TRUE	TRUE	FALSE	0.78	12.49	6.56	TRUE	0.504	0.477531187693331	0.721804914597643	0.576005772988364	2.18279784918154e-47	3.84624031116128e-06	0	-1.234	-1.647	-1.796	0	-0.008	-1.06	-1.286	0	-0.148	-0.835	-1.439
ENSG00000682	concordant	TRUE	TRUE	FALSE	0.874	20.24	14.67	TRUE	0.133	0.714872949272108	0.867101692671752	0.380612175461892	1.96650900661256e-39	0.00285787830366539	0	1.545	1.799	2.295	0	-0.105	1.341	1.519	0	0.205	1.073	1.725
ENSG00000683	unchanged	FALSE	FALSE	FALSE	2.512	5.59	9.05	TRUE	3.318	0.0685306398298716	0.213379492197555	0.0815023486631252	0.775909121305246	0.289439265288071	0	-0.436	-0.297	-0.184	0	0.109	-0.889	-0.461	0	-0.121	-0.317	-0.22
ENSG00000688	unchanged	FALSE	FALSE	FALSE	-16.665	288	288	FALSE	0.814	0.366931709159647	0.630520052113556	0.0479429644495253	0.953468829559379	0.444653158760361	0	-0.105	-0.103	-0.261	0	-0.597	-0.197	0.367	0	-0.001	-0.005	-0.014
ENSG00000693	concordant	TRUE	TRUE	FALSE	0.853	20.24	13.54	TRUE	0.163	0.68674565708867	0.850390883510786	0.042472727566394	1.05087925024181e-14	0.00487306808490835	0	1.043	1.238	1.083	0	-0.347	0.981	0.783	0	0.124	0.688	0.965
ENSG00000694	unchanged	FALSE	FALSE	FALSE	12.712	17.24	288	TRUE	0.422	0.515771577172178	0.745223170468334	0.706381382896599	0.192039174385621	0.951317635122141	0	-0.701	-0.211	-0.232	0	-0.129	-0.126	-0.475	0	-0.068	-0.239	-0.229
ENSG00000699	unchanged	FALSE	FALSE	FALSE	0.636	0.5	0.5	TRUE	0.965	0.325926357883571	0.586719023330623	0.00681649346985158	0.395841176042718	0.180384977161069	0	-0.466	-0.395	-0.45	0	-0.907	-0.107	0.175	0	-0.409	-0.398	-0.448
ENSG00000700	unchanged	FALSE	FALSE	FALSE	1.538	3.18	5.16	TRUE	0.02	0.888280541063291	0.94744666219747	0.981037057012137	0.617588355456569	0.961423029204834	0	-0.074	0.198	-0.105	0	-0.003	0.164	-0.028	0	-0.032	0.132	-0.047
ENSG00000705	kinetics_limited	TRUE	FALSE	FALSE	-0.125	288	0.5	FALSE	1.716	0.190226276679514	0.428465286214448	0.0032822304490934	3.55619807777487e-35	0.157547948543917	0	1.106	1.77	1.577	0	-0.599	-0.464	0.367	0	0.01	0.112	0.262
ENSG00000709	unchanged	FALSE	FALSE	FALSE	27.116	0.5	67.68	TRUE	5.747	0.0165200343073483	0.0756707954442975	0.00224870887930772	0.854720382367351	0.589839793100185	0	-0.133	-0.097	0.119	0	-0.73	-0.461	-0.404	0	-0.117	-0.099	0.112
ENSG00000710	unchanged	FALSE	FALSE	FALSE	1.161	0.5	0.5	TRUE	0.034	0.854061879042624	0.9333366582431	0.3407391942269	0.913664255419895	0.837310326374969	0	-0.052	-0.267	-0.162	0	-0.323	-0.42	0.072	0	-0.046	-0.258	-0.165
ENSG00000711	protein_only	FALSE	TRUE	FALSE	159.085	4.39	288	TRUE	22.075	2.62195251229701e-06	3.13593844129491e-05	1.02536839830517e-05	0.614022055017842	0.035144966888481	0	-0.382	0.141	-0.107	0	-0.527	-0.921	-1.054	0	-0.129	-0.012	-0.046
ENSG00000714	concordant	TRUE	TRUE	FALSE	0.923	12.49	10.64	TRUE	0.024	0.877257635919981	0.94409559239794	0.475064951806852	1.31335188280528e-45	6.18344584516844e-06	0	-1.986	-1.845	-2.086	0	-0.542	-0.959	-1.671	0	-0.209	-1.037	-1.671
ENSG00000717	unchanged	FALSE	FALSE	FALSE	-1.951	288	0.5	FALSE	26.322	2.88975299164786e-07	3.92329527784984e-06	1.83087633199103e-07	0.244761705298576	0.249508396920168	0	0.223	0.61	0.51	0	-1.009	-1.197	-0.718	0	0.002	0.022	0.058
ENSG00000722	protein_only	FALSE	TRUE	FALSE	-17.739	288	0.5	FALSE	51.523	7.07809257774551e-13	1.66666961166601e-11	1.99619476836038e-23	0.181531859201225	1.18736868275894e-08	0	-0.136	0.014	-0.001	0	2.133	-0.024	2.166	0	-0.001	-0.003	-0.003
ENSG00000726	unchanged	FALSE	FALSE	FALSE	1.618	0.5	0.5	TRUE	0.81	0.368179263814997	0.630533181899768	0.0193228207104323	0.0318814789278425	0.0789676452921482	0	0.119	-0.363	-0.212	0	0.662	-0.756	0.203	0	0.104	-0.344	-0.217
ENSG00000729	protein_only	FALSE	TRUE	FALSE	17.513	0.5	17.24	TRUE	55.246	1.06345311586084e-13	2.67103974267048e-12	1.22639813272971e-23	0.2544538922244	3.37505247245503e-06	0	-0.06	-0.391	0.197	0	-2.266	-2.043	-1.257	0	-0.053	-0.378	0.18
ENSG00000734	unchanged	FALSE	FALSE	FALSE	20.369	9.05	35.55	TRUE	5.925	0.0149287509359256	0.0700860674780057	0.00155023126971302	0.688612810730133	0.444008039250528	0	0.11	-0.181	0.007	0	-0.541	-0.394	-0.764	0	0.022	-0.043	-0.057
ENSG00000736	concordant	TRUE	TRUE	FALSE	1.082	3.74	4.76	TRUE	0.524	0.468974823721964	0.71628518208374	0.660992927396224	8.53123596424314e-68	2.43898918063308e-11	0	1.658	2.236	2.456	0	0.684	2.291	2.496	0	0.782	2.059	2.406
ENSG00000738	buffered	TRUE	TRUE	TRUE	0.709	7.11	2.94	TRUE	9.58	0.00196665380977094	0.0132376112842525	0.0080866020622701	2.31189208774709e-78	2.0766434177637e-11	0	-2.134	-2.862	-2.018	0	-0.526	-1.903	-1.506	0	-0.372	-1.881	-2.23
ENSG00000740	unchanged	FALSE	FALSE	FALSE	-1.762	30.27	0.5	TRUE	1.088	0.29700472722824	0.558714597492997	0.188281467835611	0.491295514036229	0.191733020841955	0	0.037	-0.185	-0.034	0	-0.185	0.375	-0.336	0	0.002	-0.025	-0.057
ENSG00000743	unchanged	FALSE	FALSE	FALSE	0.81	0.5	0.5	TRUE	0.048	0.826769989264193	0.918159450126116	0.624279774051024	0.556352144813311	0.866911897693145	0	-0.448	-0.018	-0.149	0	-0.43	0.181	0.135	0	-0.393	-0.035	-0.145
ENSG00000749	kinetics_limited	TRUE	FALSE	FALSE	-1.347	288	288	FALSE	0.798	0.371678001314395	0.633618493190942	0.329259305546194	6.54608303354881e-40	0.418034962297865	0	-2.485	-1.401	-0.583	0	0.054	-0.223	0.301	0	-0.011	-0.056	-0.095
ENSG00000750	unchanged	FALSE	FALSE	FALSE	-0.309	288	3.18	FALSE	0.294	0.587821505250264	0.781836160192971	0.233146789826537	0.370744335763228	0.92525790541692	0	-0.059	0.309	0.303	0	-0.388	-0.156	-0.064	0	0	0.005	0.024
ENSG00000752	unchanged	FALSE	FALSE	FALSE	35.225	18.68	288	TRUE	0.338	0.561237273645696	0.775263767377273	0.000758552960183914	0.481658575176485	0.306443028263284	0	-0.068	0.103	-0.331	0	-0.371	-0.953	-0.226	0	-0.007	0.01	-0.077
ENSG00000753	unchanged	FALSE	FALSE	FALSE	37.697	18.68	288	TRUE	1.458	0.22729440464697	0.480410473776976	0.307081273305949	0.947914643692094	0.92525790541692	0	0.181	0.081	-0.043	0	0.208	0.096	0.421	0	0.019	0.072	0.036
ENSG00000760	anticorrelated	TRUE	TRUE	TRUE	-0.827	288	2.94	FALSE	40.76	1.72135587529555e-10	3.1635162244761e-09	2.21245695778072e-10	3.08681323472541e-54	0.000339199884241867	0	2.117	1.636	0.975	0	-1.052	-1.036	-1.455	0	0.026	0.178	0.272
ENSG00000763	unchanged	FALSE	FALSE	FALSE	29.951	12.49	288	TRUE	0.807	0.369031364588982	0.630533181899768	0.361229954457497	0.465420566529603	0.731346248676366	0	0.232	-0.296	-0.192	0	0.159	0.283	-0.333	0	0.036	-0.029	-0.176
ENSG00000769	unchanged	FALSE	FALSE	FALSE	45.765	9.05	73.35	TRUE	13.209	0.000278643773582281	0.00238588731129828	0.000221548885769128	0.739587310739822	0.50797026107033	0	-0.069	-0.191	0.206	0	-0.646	-0.921	-0.601	0	-0.013	-0.109	0.042
ENSG00000777	unchanged	FALSE	FALSE	FALSE	1.757	0.5	0.5	TRUE	2.027	0.154530580434797	0.371105950807622	0.167805779907198	0.411342485584149	0.603188493834565	0	-0.433	-0.37	-0.05	0	-0.828	-0.453	-0.348	0	-0.38	-0.373	-0.06
ENSG00000779	concordant	TRUE	TRUE	FALSE	0.705	6.56	4.76	TRUE	3.33	0.0680350333813087	0.212274938520978	0.0638972100428432	2.42980370052583e-37	1.17030553444259e-05	0	1.601	1.416	0.548	0	0.252	1.244	0.317	0	0.527	1.373	0.884
ENSG00000784	unchanged	FALSE	FALSE	FALSE	0.542	25.77	3.18	TRUE	0.321	0.571215704358045	0.779024494540791	0.815094012933471	0.305966526065454	0.977479812436828	0	-0.533	-0.396	-0.525	0	-0.131	-0.286	-0.219	0	-0.037	-0.184	-0.312
ENSG00000788	unchanged	FALSE	FALSE	FALSE	-1.574	67.68	3.45	FALSE	0.651	0.419800399034092	0.681982714205923	0.0958342570597609	0.600506625587622	0.600017535250827	0	-0.437	-0.428	0.044	0	-0.708	1.225	-1.208	0	-0.012	-0.075	-0.096
ENSG00000790	unchanged	FALSE	FALSE	FALSE	0.935	0.5	0.5	TRUE	0.003	0.953195073693386	0.976522757345977	0.7861259045163	0.692991207826362	0.755081122959734	0	-0.066	-0.238	0.038	0	-0.221	-0.167	0.091	0	-0.058	-0.231	0.03
ENSG00000791	unchanged	FALSE	FALSE	FALSE	-14.094	288	288	FALSE	6.595	0.0102250965964135	0.0522346460026953	0.0320068173724853	0.476796356692952	0.762715283512907	0	-0.433	-0.444	-0.386	0	0.155	0.199	0.566	0	-0.003	-0.019	-0.038
ENSG00000793	kinetics_limited	TRUE	FALSE	FALSE	3.927	67.68	288	FALSE	0.015	0.90392506733922	0.955769878468832	0.970204619200895	7.88385910891544e-70	0.327023270670086	0	-1.59	-2.189	-1.386	0	-0.009	-0.161	-0.46	0	-0.035	-0.222	-0.444
ENSG00000796	unchanged	FALSE	FALSE	FALSE	-14.945	288	9.05	FALSE	3.425	0.0642313042565742	0.203354150240877	0.176048831887662	0.611455938849706	0.856881486245862	0	-0.048	0.034	-0.073	0	0.193	0.014	0.421	0	0	-0.001	-0.002
ENSG00000797	unchanged	FALSE	FALSE	FALSE	-0.565	288	12.49	FALSE	0.975	0.323493561431228	0.586169585562792	0.536398327446907	0.762435983476314	0.589839793100185	0	-0.173	-0.577	-0.108	0	-0.114	0.16	0.152	0	-0.001	-0.015	-0.031
ENSG00000799	unchanged	FALSE	FALSE	FALSE	-8.621	288	288	FALSE	0.864	0.352642582175885	0.617226912124342	0.293795523326726	0.805140843510028	0.836713252953293	0	-0.419	-0.319	-0.214	0	-0.415	0.186	0.27	0	-0.003	-0.016	-0.029
ENSG00000801	unchanged	FALSE	FALSE	FALSE	-0.665	288	0.5	FALSE	8.205	0.00417692037738625	0.0244926809677863	0.0144317326752035	0.150314576941098	0.890780136495824	0	0.666	0.622	0.526	0	-0.416	-0.316	-0.441	0	0.006	0.039	0.075
ENSG00000802	concordant	TRUE	TRUE	FALSE	0.921	13.54	10.64	TRUE	0.093	0.759797113458377	0.88572904256902	0.917689827222067	1.35981418651886e-36	3.17440970680546e-06	0	1.601	1.65	1.623	0	0.386	1.191	1.48	0	0.303	1.235	1.528
ENSG00000803	kinetics_limited	TRUE	FALSE	FALSE	-0.117	288	0.5	FALSE	3.692	0.0546753299918342	0.181488375105053	0.0249781815111341	1.06874372323064e-56	0.141665788788423	0	-1.743	-2.32	-2.466	0	0.626	0.213	0.063	0	-0.009	-0.056	-0.122
ENSG00000816	unchanged	FALSE	FALSE	FALSE	-1.752	288	5.16	FALSE	4.364	0.0367013816570109	0.137927636302034	0.102183682597716	0.592171496973596	0.672587013159102	0	0.405	0.116	0.329	0	-0.294	-0.443	-0.378	0	0.003	0.015	0.028
ENSG00000817	kinetic_lag	TRUE	TRUE	FALSE	0.931	25.77	21.94	TRUE	0.039	0.843619921692978	0.928526470047177	0.975345421505549	3.56290351813745e-75	1.0253897138814e-08	0	1.348	2.564	2.668	0	0.124	1.211	1.986	0	0.138	1.178	2.04
ENSG00000820	unchanged	FALSE	FALSE	FALSE	-2.881	288	11.53	FALSE	10.402	0.00125855987630357	0.00920703754169649	0.00516231986177273	0.427916109740355	0.422319179301304	0	-0.037	-0.489	-0.039	0	-0.076	0.555	0.585	0	0	-0.01	-0.023
ENSG00000828	unchanged	FALSE	FALSE	FALSE	18.951	3.45	41.76	TRUE	9.088	0.00257241657516445	0.0163570961129655	0.0104121441431915	0.872641272464018	0.50769363316277	0	0.28	0.251	0.166	0	0.433	1.521	2.381	0	0.121	0.254	0.184
ENSG00000829	anticorrelated	TRUE	TRUE	TRUE	-2.484	288	288	FALSE	8.941	0.0027884398822321	0.0175090787605157	2.03163307982405e-05	5.02974291991283e-40	0.0132201900044622	0	0.967	2.045	1.903	0	-0.051	1.019	-1.288	0	0.009	0.12	0.318
ENSG00000831	unchanged	FALSE	FALSE	FALSE	1.718	4.39	5.16	TRUE	0.448	0.503364855024493	0.739155486159287	0.623341917832476	0.869956720061871	0.883274414361155	0	-0.312	-0.175	-0.074	0	-0.09	-0.457	-0.042	0	-0.106	-0.208	-0.1
ENSG00000832	unchanged	FALSE	FALSE	FALSE	-0.711	288	0.5	FALSE	1.402	0.236333429799461	0.491926075563242	0.0346479799628706	0.304860402406646	0.40711987459107	0	-0.133	0.32	0.413	0	-0.112	-0.804	0.087	0	-0.001	0.004	0.027
ENSG00000836	unchanged	FALSE	FALSE	FALSE	1.477	0.5	0.5	TRUE	0.29	0.590409540441993	0.783228149160284	0.68774525184858	0.775909121305246	0.911062307734493	0	-0.082	-0.2	-0.255	0	-0.105	-0.445	-0.255	0	-0.072	-0.196	-0.254
ENSG00000837	unchanged	FALSE	FALSE	FALSE	-0.218	288	0.5	FALSE	0.335	0.562682252910847	0.775263767377273	0.434094635587036	0.664234798511611	0.900634409270012	0	-0.378	-0.269	-0.358	0	0.215	-0.173	0.123	0	-0.002	-0.015	-0.03
ENSG00000838	unchanged	FALSE	FALSE	FALSE	0.596	0.5	0.5	TRUE	0.166	0.684041940324595	0.847912884932793	0.202938175149078	0.875065976918093	0.731449713780579	0	-0.127	0.042	-0.245	0	-0.455	0.145	0.061	0	-0.111	0.035	-0.236
ENSG00000839	anticorrelated	TRUE	TRUE	TRUE	-7.984	288	288	FALSE	15.161	9.8727556407729e-05	0.000907209923819802	1.60278926441023e-05	1.03107447646962e-51	0.0358809284358646	0	-2.199	-2.807	-1.8	0	0.15	-0.278	1.374	0	-0.01	-0.061	-0.126
ENSG00000842	protein_only	FALSE	TRUE	FALSE	15.54	12.49	288	TRUE	3.651	0.0560285048705185	0.183954154335232	0.0222719993957336	0.739587310739822	0.0299700104031793	0	0.45	0.756	0.265	0	-0.584	0.596	1.043	0	0.073	0.449	0.46
ENSG00000844	concordant	TRUE	TRUE	FALSE	1.202	9.81	14.67	TRUE	1.254	0.262781480232698	0.519671252398282	0.527226956733857	1.17702287085908e-33	2.60156548244853e-07	0	1.733	1.634	0.868	0	0.408	1.471	1.467	0	0.434	1.419	1.213
ENSG00000845	protein_only	FALSE	TRUE	FALSE	-10.34	288	20.24	FALSE	26.225	3.03825194577005e-07	4.08807650203167e-06	4.77902921462068e-07	0.155586342588193	1.75077468601772e-07	0	0.182	0.189	-0.024	0	0.239	-1.132	-0.794	0	0.001	0.01	0.014
ENSG00000848	protein_only	FALSE	TRUE	FALSE	1303.876	0.5	288	TRUE	124.452	6.70979510049147e-29	4.81507676973364e-27	1.22299920290522e-37	0.758728429565872	6.99813567988248e-14	0	0.081	-0.135	0.219	0	-0.197	0.587	3.447	0	0.071	-0.126	0.209
ENSG00000849	unchanged	FALSE	FALSE	FALSE	4.38	0.5	1.21	TRUE	4.493	0.034042834418463	0.131545003765702	0.0527455273866297	0.659077594205075	0.173482163976677	0	-0.212	0.189	-0.18	0	-0.513	1.041	-0.443	0	-0.186	0.173	-0.169
ENSG00000850	unchanged	FALSE	FALSE	FALSE	1.215	0.5	0.5	TRUE	0.306	0.580280882593592	0.781836160192971	0.169463601207778	0.370744335763228	0.361123299481604	0	-0.269	-0.264	-0.545	0	-0.458	-0.66	-0.41	0	-0.237	-0.264	-0.536
ENSG00000851	kinetics_limited	TRUE	FALSE	FALSE	-0.081	288	9.05	FALSE	2.202	0.137812463909978	0.342147253891823	0.0657590809035148	3.26834461547888e-31	0.0263518029014061	0	1.217	1.831	1.421	0	0.408	-0.362	0.017	0	0.012	0.122	0.264
ENSG00000854	kinetics_limited	TRUE	FALSE	FALSE	0.126	86.15	4.39	FALSE	0.571	0.449747784996388	0.703180303210359	0.300449462728135	9.32411869945925e-109	0.587695440006036	0	-2.468	-3.378	-3.084	0	0.257	-0.507	-0.321	0	-0.036	-0.215	-0.456
ENSG00000855	protein_only	FALSE	TRUE	FALSE	10.711	6.06	15.9	TRUE	34.532	4.19320013574427e-09	6.72250277081555e-08	2.57498192363299e-09	0.221585660627912	9.0416480711151e-09	0	-0.097	0.456	-0.096	0	0.531	1.35	1.441	0	-0.026	0.24	0.085
ENSG00000856	unchanged	FALSE	FALSE	FALSE	-3.157	288	1.42	FALSE	8.091	0.00444811361249186	0.025781950823174	0.0172397713504446	0.373113237154684	0.719991272461494	0	-0.31	-0.288	-0.271	0	0.649	0.858	0.926	0	-0.002	-0.013	-0.027
ENSG00000860	unchanged	FALSE	FALSE	FALSE	-0.186	288	0.5	FALSE	0.09	0.764417011172678	0.886045429218613	0.56107036169709	0.527078425068518	0.922240184113341	0	-0.083	-0.475	-0.214	0	0.301	0.098	-0.08	0	-0.001	-0.011	-0.028
ENSG00000862	unchanged	FALSE	FALSE	FALSE	-1.769	288	14.67	FALSE	3.174	0.0748170964448107	0.228700536191338	0.187808142929537	0.941117555181797	0.915425761487129	0	-0.073	-0.216	-0.279	0	0.109	0.143	0.355	0	-0.001	-0.006	-0.019
ENSG00000863	unchanged	FALSE	FALSE	FALSE	0.245	288	0.5	FALSE	0.465	0.495246091641386	0.732243175003572	0.556356581853728	0.370744335763228	0.482425683988518	0	-0.402	-0.507	-0.166	0	-0.217	-0.091	0.124	0	-0.003	-0.019	-0.035
ENSG00000866	anticorrelated	TRUE	FALSE	TRUE	-0.174	288	1.81	FALSE	10.866	0.000979590527584851	0.00738121462535186	0.00398566949178519	2.44797077158483e-48	0.557315064538102	0	1.821	2.149	1.483	0	-0.19	-0.438	-0.19	0	0.021	0.189	0.35
ENSG00000870	protein_only	FALSE	TRUE	FALSE	-9.63	288	4.39	FALSE	107.184	4.05683775607415e-25	1.85262257527386e-23	4.2286366041983e-25	0.237031926200351	2.63880778524348e-06	0	0.386	0.178	0.058	0	-1.531	-1.959	-1.382	0	0.003	0.016	0.022
ENSG00000873	kinetics_limited	TRUE	FALSE	FALSE	0.113	288	5.16	FALSE	0.259	0.610563147956044	0.800103186060659	0.0562588718986089	1.11119653580433e-11	0.485267392828773	0	-0.809	-0.806	-0.403	0	0.445	-0.435	0.24	0	-0.005	-0.031	-0.058
ENSG00000875	protein_only	FALSE	TRUE	FALSE	19.001	0.5	7.11	TRUE	101.231	8.18584275837272e-24	3.52459001053362e-22	4.06582783914658e-30	0.717104153555157	3.08149802301237e-10	0	0.009	-0.26	-0.041	0	-1.74	-2.544	-2.122	0	0.008	-0.25	-0.048
